step,cost,qf_loss,actor_loss,observations,action
29999,1092.1872495934417,0.675006628036499,-11.133890151977539,"[-0.13460354 -0.81534323  0.53031848 -1.74512781  1.50683969 -0.22232193
  0.22586782 -0.34525722  0.14309844  0.53311704]",[ 71.19699  -25.037262]
39999,1652.3219883116908,233.65707397460938,-150.33941650390625,"[ 4.69267878e-01 -1.00296458e+00  1.19806693e+00 -1.74643643e+00
  4.10624943e-01  2.58177334e-01 -4.51687138e-02  3.04332605e-01
 -5.67533411e-05 -9.06238283e-01]",[-95.1559   -58.910908]
49999,1550.0668244892954,117.72389221191406,-444.7156982421875,"[ 0.58802357 -1.00247775  1.53122261 -1.48076566 -1.58975055  0.2977835
 -0.16887558  0.75518425 -0.94657907 -1.09693898]",[-39.11968 -87.80355]
59999,2297.0678053513593,95.23141479492188,-565.8277587890625,"[-4.54944891e-01  5.49297550e-01  3.65066133e-02  1.74553391e+00
 -1.74540477e+00 -7.74521025e-03 -1.78934487e-02  2.94228596e-02
  1.85881005e-04  6.65949441e-04]",[ 8.927007  -3.0972414]
69999,1422.9778328138723,103.51438903808594,-567.851318359375,"[-0.13937636  0.33685784  0.33523785  0.89804304 -0.86026725  0.53805485
 -0.75782714  1.00339607 -1.66922674  0.73029506]",[-11.0265     -6.9137454]
79999,1781.6446844122825,58.077552795410156,-520.2744140625,"[ 1.04762409 -0.25094204 -3.06812661  1.73246817  1.74619084 -0.01209215
  0.00497496  0.00955813 -0.03203918  0.06530346]",[-98.71018  51.16989]
89999,1504.2294514497544,17.223905563354492,-460.72821044921875,"[ 1.08061562e+00  5.11670784e-01 -2.44292964e+00  1.48505813e+00
  1.74557580e+00 -4.92624025e-03 -4.35208415e-03  3.38488719e-03
 -4.25432455e-02  1.05522533e-03]",[-7.378556  8.603335]
99999,1281.5103360366509,16.97824478149414,-390.32244873046875,"[-6.85396373e-01 -3.93987852e-01  2.19248096e-02 -1.74557518e+00
  1.74558215e+00 -1.89074840e-02  1.74431486e-02 -2.89092117e-02
 -2.44160450e-05 -1.59675869e-04]",[-10.005847  10.142472]
109999,1549.5973233228503,18.680110931396484,-356.01519775390625,"[-0.79544651 -0.06542995 -0.4517121  -1.5387028   1.73761121  0.12630245
  0.28766707 -0.40069507  0.41282103  0.24034121]",[-9.11543  17.968843]
119999,261.21445120539005,11.872852325439453,-275.0286865234375,"[ 0.14772353 -0.63976224  0.95568554 -0.54497883 -1.64181056 -0.24252806
  0.22967908 -0.35347761  0.57095759 -0.26455843]",[ 2.6177723 -7.541381 ]
129999,210.25514153451934,4.029997825622559,-232.56707763671875,"[ 0.1890763  -0.23481929  0.73380929  0.17631334 -1.71876169  0.1936446
 -0.02713524  0.16255942 -0.19296395  0.48159265]",[-37.604946   -3.0427423]
139999,139.67577393657965,2.952014923095703,-190.03697204589844,"[ 8.25200915e-01 -7.36657081e-01  1.93175917e+00 -1.24926385e+00
 -1.74556183e+00 -1.91390022e-01 -2.48323149e-02 -2.87666436e-01
  3.99975034e-01  8.25517177e-04]",[ 3.4341354 -5.5358076]
149999,124.74494750400598,1.7729854583740234,-157.45040893554688,"[ 0.46728577 -0.63561858  1.33054642 -0.54949514 -1.71046508  0.27637645
 -0.11503597  0.33258319 -0.49565175  0.15202327]",[-8.096037  -6.1631107]
159999,268.8961082436089,1.3901766538619995,-133.87066650390625,"[ 0.44283613 -0.64405658  1.08458744 -0.73777637 -0.67451715 -0.56406812
  0.49743973 -0.89657127  1.09241915  0.36453702]",[-25.348032  17.61756 ]
169999,320.0269270071243,1.441726803779602,-116.66368103027344,"[ 0.42282638 -0.82558766  1.0343705  -1.3757497   0.08227141  0.1185799
 -0.050197    0.18142065 -0.04145996 -0.47717072]",[-15.70837  30.11812]
179999,340.78070639161245,1.2971835136413574,-108.48645782470703,"[ 0.63927165 -0.87015406  1.32405739 -1.6251743  -0.07793702 -0.02952243
 -0.18249484  0.00328928 -0.6763243   1.67050037]",[ 8.043566 12.045073]
189999,424.7170365295288,1.5166598558425903,-107.44523620605469,"[ 0.19617038 -0.64611657  0.98633291 -0.42138091 -1.73026986  0.09014982
 -0.04489352  0.07178992 -0.13520747  0.25265941]",[13.044596  8.153266]
199999,339.78817427881677,0.9888990521430969,-110.592529296875,"[ 0.77548637 -0.88011442  1.62656983 -1.53404592 -1.20838537 -0.12281817
  0.08064392 -0.05294123  0.36254914 -0.91418009]",[-55.73666 -45.76857]
209999,422.0176122045667,0.9102993011474609,-115.00908660888672,"[ 0.32115588 -0.88126809  1.27167289 -0.96022617 -1.73226395  0.07162468
 -0.08790971  0.14363573 -0.21546563 -0.0467917 ]",[24.319527 14.95826 ]
219999,438.0068044994808,0.7846673130989075,-111.24420166015625,"[ 0.16193963 -0.62962207  0.72082341 -0.6946225  -0.79184446  0.21400133
 -0.30676363  0.40682579 -0.66069194  0.38434977]",[-13.417363  22.358692]
229999,379.14257157134836,0.929527997970581,-112.26303100585938,"[ 0.55044103 -1.06735108  1.45678879 -1.70568586 -0.6848451   0.21718993
 -0.07919659  0.36695711 -0.40008969 -0.17572428]",[ -9.949541 -33.278057]
239999,416.190699244604,0.9333231449127197,-116.44140625,"[ 0.64263489 -1.09321669  1.60002462 -1.69198935 -1.18197208 -0.02452427
  0.05123376  0.08985541  0.09471537 -0.76540173]",[ 32.03128 -68.35151]
249999,471.3326176449373,0.8412348031997681,-119.12704467773438,"[ 0.64021392 -1.03801933  1.66633483 -1.62342694 -1.48559689 -0.16987012
  0.03742376 -0.23452897  0.37227203 -0.214536  ]",[49.936123 51.801853]
259999,506.5992679901753,0.7947852611541748,-115.98062133789062,"[ 0.38372232 -1.04866101  1.45179925 -1.56145934 -1.37981134  0.39148791
 -0.10159632  0.55743305 -0.65072956  0.26627034]",[-23.274597  11.959577]
269999,422.680270685548,0.8118880987167358,-119.18663787841797,"[ 0.3718774  -0.93520371  1.17170292 -1.22796607 -1.02661299 -0.09778319
  0.10304851 -0.03649018  0.31230558 -0.80265662]",[-61.11396  -27.260859]
279999,412.4987011147052,0.4999365210533142,-123.40785217285156,"[ 0.86701652 -0.99253508  1.77649327 -1.73278351 -1.17498604  0.18130401
  0.002002    0.28955533 -0.32617878 -0.04781654]",[-1.719887 37.16572 ]
289999,426.11797349139994,0.5745992660522461,-119.26095581054688,"[ 0.62976492 -1.04339929  1.58935255 -1.74483375 -1.00991216 -0.08162426
 -0.11752229 -0.25209466 -0.02219169  0.88107469]",[-17.650215  44.60675 ]
299999,465.5111922160933,0.5533220767974854,-120.86339569091797,"[ 0.36187994 -0.97216009  1.04308826 -1.20622184 -0.63736527 -0.33935576
  0.35117148 -0.55678262  0.92566785 -0.65607401]",[25.375336    0.36664143]
309999,521.6720891761013,0.7840852737426758,-120.95223999023438,"[ 0.36063657 -1.04172077  1.15949512 -1.25440995 -1.07739774  0.19637928
 -0.14620973  0.27650247 -0.45447305  0.42445701]",[-25.560608 -32.66217 ]
319999,420.687175455669,0.8246126770973206,-120.69169616699219,"[ 0.44457716 -1.01016273  1.33935613 -1.46891919 -0.93137752 -0.02775792
  0.05105214  0.03594627  0.17426219 -0.67547402]",[  5.8302493 -40.684177 ]
329999,526.6740154243993,0.6717222929000854,-119.15452575683594,"[ 0.69846609 -1.10610454  1.71701161 -1.728567   -1.43899552 -0.00304665
  0.04219632  0.01699016  0.10588029 -0.20400159]",[ 34.385456 -38.911507]
339999,450.7581274637401,0.49030885100364685,-123.92884826660156,"[ 0.50165471 -0.99749076  1.26448576 -1.36643001 -0.81981185  0.03168276
 -0.02663199  0.04701156 -0.1137286   0.15097314]",[35.63545  -7.532505]
349999,434.4191983657485,3.42987060546875,-124.05460357666016,"[ 0.50408572 -0.91992452  1.21318251 -1.21876855 -0.82565736 -0.01446618
 -0.00450753 -0.05780078 -0.04947495  0.35090792]",[-1.4594457 12.325169 ]
359999,347.3301428169493,0.5105587840080261,-122.5408935546875,"[ 0.64315102 -0.8562868   1.31485485 -1.26501281 -0.74682023 -0.3958926
  0.22669501 -0.53685384  0.83550064 -0.52612325]",[-24.597166 -48.18989 ]
369999,332.0750552144761,1.1708581447601318,-127.02017211914062,"[ 0.72944616 -0.8608384   1.4949609  -1.34393216 -1.22737739  0.13237743
 -0.03691394  0.17420793 -0.22650783  0.09202174]",[-21.314983    6.5368996]
379999,351.04126753323453,0.33892858028411865,-124.41029357910156,"[ 0.55849559 -0.89920864  1.31069932 -1.4103275  -0.64082508  0.05356325
 -0.01505051  0.11693609 -0.04182177 -0.32917426]",[-15.387548  11.733888]
389999,461.9829391763757,0.32172688841819763,-127.76535034179688,"[ 0.32770833 -0.9244581   1.02677416 -1.11391732 -0.65679317 -0.435113
  0.46254227 -0.66408315  1.26189753 -1.21817206]",[ 29.128986 -30.188688]
399999,360.73465821538224,0.4205675721168518,-127.75215911865234,"[ 0.45560534 -0.85897678  1.18633807 -1.21314408 -0.8401517   0.04569472
 -0.04733007  0.07554186 -0.11396007  0.03310104]",[-27.769041 -15.295659]
409999,326.6383493289221,0.24302612245082855,-129.44790649414062,"[ 0.57012747 -0.84689978  1.34670286 -1.22578273 -1.14334995 -0.18184081
  0.09348599 -0.29890679  0.3911961   0.01897062]",[-2.7491584 52.699894 ]
419999,326.3577250997072,0.6412935853004456,-129.92803955078125,"[ 0.4730785  -0.78099468  1.22282852 -1.06448743 -1.15564335  0.18483043
 -0.12588857  0.32002468 -0.38961764 -0.09537132]",[-24.879377 -20.782303]
429999,307.9989561984879,0.39630717039108276,-131.87115478515625,"[ 0.46253349 -0.72215215  1.15968628 -1.05931734 -0.95331634  0.07991157
 -0.06283921  0.09045386 -0.18944085  0.21012661]",[-5.133697 27.237547]
439999,314.1621644447439,0.6207257509231567,-133.10745239257812,"[ 0.29121563 -0.4871092   0.73142144 -0.68470433 -0.40559357 -0.10665276
  0.19752641 -0.17823187  0.53669464 -0.8999975 ]",[ 10.5683975 -30.548832 ]
449999,320.7466113400086,2.056647300720215,-133.85577392578125,"[ 0.36142816 -0.65356668  0.99354538 -0.90278745 -0.83814991  0.26709743
 -0.26761054  0.41377702 -0.69383496  0.44917612]",[-29.703907 -43.009354]
459999,335.82794728655614,0.5160531997680664,-135.97604370117188,"[ 0.29266535 -0.5227978   0.79522774 -0.69579472 -0.74180173  0.00116691
 -0.00389089  0.03065898  0.0372479  -0.2392105 ]",[ 6.9343514 43.923306 ]
