step,cost,qf_loss,actor_loss,observations,action
25789,1488364.8663659068,496313204736.0,3451.947509765625,"[-8.09633738e+02 -1.98078427e+01  6.26684532e+03 -7.65030332e+03
 -3.46320325e+05 -8.10355630e+04 -1.93337435e+03  6.23804005e+05
 -7.58660263e+05 -3.46525364e+07]",[ 100. -100.]
30661,16.071654148650573,59090969559040.0,5357.18505859375,"[-3.23952399e+02 -1.78465036e+02 -1.23364797e+04  6.87888888e+03
 -7.84495021e+03 -3.24755955e+04 -1.78567073e+04 -1.23517446e+06
  6.88467195e+05 -7.86025788e+05]",[-100.  100.]
34930,542463.9456042558,51996702801920.0,25907.291015625,"[-0.14525306  0.22282452 -0.1345851  -1.1816388   0.03123689  0.05489145
  0.02447733  0.5357477  -0.11478085 -2.3312533 ]",[ 0.3719538 -2.268491 ]
41906,636.8219563403611,340961722368.0,-358.289306640625,"[ 0.15450156  0.09988008  0.87096805  0.56644724  0.0582664  -0.00823476
 -0.02599616 -0.25685323 -0.01843383  0.73682706]",[ 0.8482365 -1.0429534]
51906,629.5433578232603,8864908.0,152.26759338378906,"[ 6.40549367e-03  2.15915097e-02 -3.13486454e-01  1.12937093e+00
 -1.09403311e+00 -8.17573606e-04 -4.52684485e-04 -4.70435350e-02
  5.62292516e-03  3.67404171e-01]",[ 2.38233   -0.5181377]
61906,804.9260642219274,703.4134521484375,136.78216552734375,"[-0.10676221  0.0874669  -2.33434897  1.13534542  1.12714912 -0.01148259
 -0.00626549  0.13028621 -0.18213082 -0.05685611]",[2.0526218 1.7616203]
71906,812.9487317821938,1203.9149169921875,135.6253662109375,"[-9.83865965e-02  9.43183013e-02 -2.54785428e+00  1.19972932e+00
  1.14173214e+00 -2.75749905e-03 -1.27193773e-03  8.41371149e-03
  6.04642129e-03 -1.23650311e-01]",[4.4383335 1.7744571]
77073,17.84432912347932,700693.875,-125.33233642578125,"[-1.12209501e+02 -5.41730300e+01  3.63056078e+03 -2.38869781e+03
  5.66829333e+04 -1.12327403e+04 -5.43350136e+03  3.63308465e+05
 -2.39087211e+05  5.67470067e+06]",[100. 100.]
77159,18.53085222650024,89850.4375,-157.06582641601562,"[-3.56326542e+02  7.69077059e+00 -8.62597379e+02  1.07190264e+04
  8.09022718e+04 -3.56408614e+04  7.17728102e+02 -8.50741236e+04
  1.07292519e+06  8.09641652e+06]",[100. 100.]
77237,17.623888707907586,196374.40625,-319.3847961425781,"[-1.54152208e+03  1.13654675e+03 -4.26596034e+04  8.36494083e+04
  1.94688949e+05 -1.54165308e+05  1.13673917e+05 -4.26706666e+06
  8.37340721e+06  1.94793573e+07]",[100. 100.]
77953,20073.733564583184,4367771648.0,-808.12841796875,"[-2.07090496e+02 -2.66081996e+02  3.66955532e+03  8.22344373e+03
  6.57580411e+04 -2.07453193e+04 -2.66737206e+04  3.68110909e+05
  8.23882737e+05  6.58173279e+06]",[100. 100.]
78055,47631.06498122828,6450416640.0,-1000.3759765625,"[-5.83079982e+02  1.04502998e+02 -1.21773619e+04  3.13874074e+04
  8.26240026e+04 -5.83346124e+04  1.03840666e+04 -1.21648513e+06
  3.14168045e+06  8.26894157e+06]",[100. 100.]
79222,69309.25448807685,43779481600.0,513.99169921875,"[-0.01446828  0.05704958 -1.86264402  1.26336457  1.18287295 -0.01513285
 -0.05174423  0.53449019 -0.45414002 -0.69438975]",[4.916694  2.5250106]
88698,815.5371275982749,1282146697216.0,888.8275756835938,"[-0.06695686  0.18293393 -0.36191211 -1.16462056 -1.25350754 -0.00842383
  0.00693137 -0.09524623  0.0113549   0.2485185 ]",[-3.3058584 -4.1391397]
92955,18.00887712691581,1781207168.0,198.16880798339844,"[3.38217703e+02 8.06307948e+02 5.16658495e+03 8.26473893e+03
 3.23222424e+05 3.38137305e+04 8.06234385e+04 5.16464067e+05
 8.25838036e+05 3.23390660e+07]",[-100. -100.]
93122,19.911478906837694,2050484992.0,-153.53341674804688,"[-7.80075906e+02  1.60497459e+02  7.15983304e+03  9.50508792e+03
  2.09707740e+05 -7.80174601e+04  1.60417281e+04  7.15717344e+05
  9.50330633e+05  2.09845201e+07]",[-100. -100.]
93654,112534.59704210226,99826057216.0,4737.5078125,"[-2.23132690e+02 -7.94791952e+01 -3.93546402e+03 -1.73883921e+03
 -6.50210202e+04 -2.23158469e+04 -7.94892721e+03 -3.93551036e+05
 -1.73445993e+05 -6.51017875e+06]",[-100. -100.]
