step,cost,qf_loss,actor_loss,observations,action
25509,[8143.636],926531.5,-65.32087707519531,[10.07115339 -5.21959244 25.08768722  4.72263663],[16.869232]
31619,[11667.962],8006.12841796875,190.75625610351562,[ 4.37628066 -3.35144369 -1.88986726 -7.02521065],[-6.2617884]
41593,[11424.226],9997.71875,138.42645263671875,[-0.79203112  2.57802717 -0.69294753 -0.25539792],[2.0710728]
51593,[9870.044],12012.814453125,-84.594970703125,[2.02196079 3.21914373 1.45411993 0.71663224],[0.1376766]
61593,[11978.369],10121.37890625,-239.19776916503906,[ 1.74053166  4.27609371 -0.39140673 -3.52960014],[-0.9562581]
71508,[10952.512],7713.76025390625,-464.50274658203125,[ 0.60147287  1.83910359 -0.82973818 -2.50485661],[-1.5778979]
81508,[9779.129],13402.6103515625,-767.98193359375,[-0.82510954  3.61562005  1.98159967  4.60129159],[2.302598]
91508,[4331.968],15618.6796875,-2019.28125,[-1.84645237 -0.13323754 -0.69430469  0.47930172],[-1.41853]
101350,[3096.0693],14073.435546875,-3521.077392578125,[-3.89568867  0.16604259  0.32060128 -1.6361393 ],[3.6845422]
111201,[2775.5503],10890.123046875,-4486.6044921875,[-1.85180138 -0.14342389  0.19878254 -1.45385838],[1.1201029]
121201,[2727.1245],8855.1240234375,-4958.06787109375,[-2.23743084  0.07918698  0.40397873 -1.16916109],[2.517002]
131201,[2626.3638],9671.1640625,-5301.73388671875,[-1.65288779 -0.17350243 -0.34529555  0.88638727],[-4.211396]
141020,[2680.2026],3635.90771484375,-5579.0947265625,[-1.77443732  0.26536492  0.27813677 -1.11721187],[4.211581]
150953,[2050.7642],25068.623046875,-5700.37255859375,[-0.31562932 -0.01050008  1.6855661  -2.76644283],[3.9794853]
160953,[1991.4355],11773.4990234375,-5984.49609375,[-0.63967796  0.10621641  1.76451181 -3.29291707],[3.962295]
170892,[2582.0527],4473.353515625,-6032.541015625,[-0.75513871 -0.02586743  1.63914481 -1.84802791],[1.2092737]
180892,[2238.2747],3132.331787109375,-6188.1171875,[-0.69424603 -0.12504559 -0.44536796  0.54964253],[-1.5560614]
190892,[2455.5002],4023.81494140625,-6275.01513671875,[-1.28089386  0.26535623  0.39549311 -0.76149377],[-0.8706207]
200892,[2857.8066],3747.44140625,-6340.4775390625,[-1.35351496  0.2217924  -0.81831578 -0.82665594],[3.265383]
210892,[2361.723],2473.7607421875,-6411.787109375,[ 0.199389   -0.18655646 -1.05858844  0.32630689],[-0.18619874]
220892,[2888.4973],3734.16162109375,-6480.1923828125,[ 0.59511661 -0.14376594  2.51969124 -5.1671151 ],[4.754114]
230892,[2068.5835],10881.939453125,-6359.251953125,[ 0.07382962  0.16625215 -2.29508665  3.61116189],[-1.6310656]
240892,[2269.048],3226.025634765625,-6545.955078125,[ 0.15154689  0.01728574 -0.1573886  -1.29824633],[5.045249]
250892,[1869.8907],4173.1455078125,-6583.1923828125,[-0.58506628  0.39095794  4.03292423 -3.61328686],[3.4637241]
260806,[5368.5425],7417.990234375,-6609.6396484375,[ 0.44186432 -0.39104575 -2.19512677  2.33284889],[-8.110025]
270806,[2592.9014],6603.72021484375,-6629.17822265625,[ 2.0872609  -0.25867413  1.67757446 -0.8857151 ],[-0.37982264]
280806,[3227.0225],6740.8740234375,-6586.2841796875,[-1.45072338 -0.14980246  1.29587286 -4.73560152],[4.0135255]
290806,[2680.3289],2666.15380859375,-6754.78076171875,[-0.19662099  0.28620947  0.01500851 -3.39892122],[9.565401]
300806,[2189.1392],3435.9873046875,-6678.82421875,[-1.12052867  0.42254296  1.56019521 -1.49281603],[3.9891257]
310806,[3261.7012],2422.85888671875,-6758.75634765625,[-0.05308154 -0.06939147  2.26176928 -5.54430821],[4.304806]
320806,[2637.0273],3359.974365234375,-6794.4130859375,[ 0.76591193  0.02822422 -2.99428521  5.47551189],[-5.3377857]
330729,[2767.2239],10169.40625,-6789.53466796875,[-1.36051281  0.08296232  0.37511048 -0.59680695],[-0.421801]
340729,[2882.8308],2851.36279296875,-6834.11572265625,[ 0.93757762 -0.01406796 -0.03175816 -1.82331987],[4.691175]
350507,[3039.3276],21586.865234375,-6492.47314453125,[-0.07120295 -0.21238129 -0.44667555 -0.8645942 ],[1.0152445]
360507,[2202.888],4041.296630859375,-6836.955078125,[ 1.02174176 -0.40421029 -1.60333842  2.57065107],[-3.6383286]
370507,[2645.3345],4647.19775390625,-6817.46435546875,[-1.15322552  0.54687037  0.9561157  -1.68499623],[2.4393423]
380437,[2540.257],2466.9716796875,-6824.2353515625,[ 0.13814338  0.20951587  0.58287285 -1.51104582],[3.390725]
390308,[2613.5425],6229.7236328125,-6769.9638671875,[ 1.85890521  0.12912143  2.51482836 -2.65292823],[5.7935925]
400308,[2654.5276],2374.56640625,-6805.6181640625,[-1.44259706  0.47664272 -1.28778012  1.72710887],[2.279951]
410308,[2447.3562],2495.872314453125,-6836.728515625,[ 0.47867798 -0.18366981 -1.58013646  2.57464079],[-4.3329854]
420308,[2562.6265],2751.0517578125,-6856.5048828125,[-1.17769746  0.15572203 -0.31481108  0.15076883],[-1.8814136]
430308,[2605.591],2992.10498046875,-6871.08642578125,[ 2.26623414 -0.39328381 -0.07218179 -0.89402293],[0.3930909]
440308,[2447.5923],3699.78271484375,-6881.17919921875,[ 0.90798164 -0.25509511  2.74501139 -3.57760115],[5.201687]
450308,[2511.761],2105.91162109375,-6924.30517578125,[ 0.49321909 -0.08318496  0.12054246 -0.79162473],[2.683091]
460308,[2790.8015],2335.155029296875,-6924.43408203125,[-0.20113741 -0.41032711  2.06949579 -3.30523677],[0.26172844]
470308,[3456.416],3220.32666015625,-6940.6650390625,[-2.37642849  0.05991563  0.72204769 -0.27036842],[-2.5108352]
480308,[2571.7368],5570.271484375,-6980.62939453125,[ 0.73703356  0.04024343 -0.51783009 -0.65599511],[0.0322167]
490308,[2630.61],3882.54736328125,-6982.1806640625,[ 0.71267856  0.12450772 -0.08582146  2.13909958],[-3.6317239]
500308,[2700.2988],1869.812744140625,-7003.22705078125,[-0.36136483 -0.20923919  1.10062125 -2.94066988],[-1.1560473]
510308,[3160.8777],2478.06298828125,-7002.9384765625,[ 0.73348384 -0.19218357  1.57603153 -2.37347537],[1.9528574]
520308,[2261.0068],3154.06640625,-7011.59228515625,[ 1.09654121 -0.16688954 -0.67794282  3.93936207],[-7.2704077]
530308,[3050.6902],2615.67529296875,-7013.70068359375,[ 0.5095208   0.04186232  0.769023   -0.64201926],[1.8940904]
540308,[2601.8245],3947.74755859375,-6977.0458984375,[ 0.88509747 -0.31169205 -0.28662264 -0.48493057],[-0.7294699]
550308,[3561.7527],3032.420654296875,-7036.150390625,[ 1.20462623 -0.46199051 -0.03740621 -0.94604324],[-3.0558114]
560226,[2696.608],3604.18701171875,-7027.1416015625,[-1.02641451  0.20089729 -0.49022559  0.95057161],[0.24980097]
570226,[2971.0974],3694.85205078125,-7025.74609375,[ 0.23143448 -0.40868498  0.62736506 -0.94882133],[-1.2273762]
580226,[2830.704],2415.6162109375,-7041.81298828125,[-0.23062122 -0.02448178  2.26243874 -3.93804656],[4.697139]
590150,[2543.6362],11881.958984375,-6981.3134765625,[-0.73292528  0.16861872  1.44505151 -0.53724244],[2.4156475]
600150,[2274.658],2975.561767578125,-7035.275390625,[ 0.14745533 -0.17278136  2.25708363 -3.31201542],[2.5866785]
610150,[2752.046],3747.172607421875,-6996.8037109375,[ 0.75855799 -0.10115617 -1.4437498   1.27315132],[-1.6165386]
620150,[2786.5752],3452.481201171875,-7044.1416015625,[ 0.7464413   0.34215901 -0.29695988  1.34816794],[1.9889436]
630150,[2619.2573],2570.0537109375,-7049.81787109375,[ 1.11544691 -0.26326483 -0.17512207  0.51201112],[-2.7166193]
640150,[2657.3223],2997.515869140625,-7055.8740234375,[ 1.66157471 -0.29381407 -1.20435722 -0.8178784 ],[-2.4276028]
