step,cost,qf_loss,actor_loss,observations,action
25838,[8326.135],497582.75,78.51025390625,[10.904229    4.07110286 20.03191959 -6.5327914 ],[-4.6524663]
32352,[10483.493],5980.318359375,244.17454528808594,[-3.24221263  2.26457708 -9.00693098  0.72814219],[-0.36354]
42352,[12555.783],17386.8125,131.4844207763672,[ 0.88843415  1.88287665 -2.04321504  7.7269045 ],[-2.2907295]
52352,[11810.105],13600.71484375,-70.21393585205078,[ 2.61659739 -3.31019969 -1.1534292  -3.33208896],[-5.338318]
62352,[11930.028],9005.0947265625,-317.56158447265625,[-2.87474895 -3.06510288  1.96769816  2.06078042],[3.1806185]
72301,[13167.084],8137.0751953125,-440.8721923828125,[-0.34180641  4.23183851  4.23459997 -0.89475192],[6.439958]
82301,[11231.333],8598.2841796875,-526.33447265625,[-0.5503529   3.29877838  2.60851016  8.5063338 ],[3.5154874]
92246,[10594.551],24000.3515625,-869.6823120117188,[-1.45613432 -3.19474937 -0.15157099  3.49765002],[2.159258]
102189,[3688.62],14966.693359375,-2634.527099609375,[-3.60930841 -0.05153422  1.02293521 -1.516266  ],[1.1154965]
112189,[3395.9043],9292.3271484375,-3705.9228515625,[-3.21139478 -0.04740873 -2.17400656  4.96015432],[-6.3688693]
122061,[1958.0256],8170.7646484375,-4488.962890625,[-2.33388489  0.03864801  1.1890182  -1.55645538],[1.0028187]
132061,[1677.6089],35717.4375,-4587.4326171875,[-1.81941257  0.00356613  0.64953052 -1.38893843],[2.4463768]
141967,[1740.2401],20838.046875,-4849.57373046875,[-1.49275393 -0.08541087 -0.85549908  2.21385494],[-4.1321936]
151899,[2915.8667],3497.138671875,-5391.40380859375,[-1.24618402  0.08425982  0.34866304 -0.75769666],[0.3436587]
161899,[2734.2595],7447.8681640625,-5595.45068359375,[-1.2018197   0.07342877 -0.95463564 -0.22167859],[2.7694912]
171899,[2104.3843],6812.697265625,-5740.365234375,[-1.32319296  0.13052019 -0.44523395  1.14791836],[-0.5412103]
181899,[1918.4305],8968.35546875,-5857.34765625,[-0.94450426  0.18758971  0.2609763   1.32659243],[0.69332653]
191899,[2042.9413],3057.48193359375,-6018.6044921875,[-1.08863615 -0.1527493   1.07118032 -2.7730178 ],[-0.368424]
201899,[2557.6926],6300.90966796875,-6107.30810546875,[-0.58925704 -0.03668286 -0.82008624  2.52492294],[-5.099572]
211899,[2838.7456],3330.067138671875,-6161.17578125,[-0.583002   -0.04687827  0.03112741  1.03880783],[-0.90939724]
221899,[2311.755],5671.349609375,-6200.9931640625,[-0.17734367 -0.19656874  3.33841124 -3.80735592],[0.7055958]
231899,[2684.5593],3394.27099609375,-6342.42578125,[-0.46546794 -0.00143593  0.18231373 -0.91037466],[-0.24686122]
