step,cost,qf_loss,actor_loss,observations,action
29999,101185.72049170802,7510.564453125,86.6541748046875,"[-0.08235073  0.46895631 -0.64495287  0.26825268  1.36305608  0.05591646
  0.04278057 -0.02826765  0.11661434 -0.2776138 ]",[ 0.62918496 -0.2977283 ]
39999,30339.926316961948,1265.314208984375,1028.856689453125,"[ 9.53220179e-01 -9.46728610e-01  1.72037272e+00 -1.74585540e+00
 -8.64305538e-01  3.59785310e-02  2.07190000e-03  1.77186668e-02
 -4.18196083e-04  1.61071810e-02]",[-3.0863274e+01 -1.1664815e-05]
49999,42337.09203826704,1145.60009765625,1473.2852783203125,"[ 2.43134745e-01 -1.20470273e+00  9.44076292e-01 -1.74575693e+00
  4.22200865e-01 -1.99084532e-02 -1.83975903e-02 -2.94472590e-02
 -4.13607860e-04  3.56993109e-02]",[-20.149591    2.7888923]
59999,49099.09962292602,933.0184936523438,1712.092529296875,"[ 6.95750136e-01 -1.38282594e+00  1.35357662e+00 -1.74573414e+00
 -6.08482035e-01  3.43329046e-02 -2.22661103e-02  3.65570435e-02
  5.35698010e-04 -1.34059848e-01]",[-19.627264   -1.2358637]
69999,58809.980357017615,1244.5814208984375,1423.4615478515625,"[ 4.40095644e-02 -1.34450068e+00  1.04334982e+00 -1.74551146e+00
 -9.56517241e-01 -3.70856873e-02 -1.43189846e-02 -3.15665465e-02
 -4.52554024e-05 -6.91147334e-03]",[-8.756122 -0.642571]
79999,44262.243551740175,905.3108520507812,1455.8521728515625,"[ 2.46237483e-01 -1.24524854e+00  1.51755882e+00 -1.74573179e+00
 -1.74584630e+00 -3.53362233e-02 -3.22665302e-02 -4.31749288e-02
  1.66363382e-04 -5.62541773e-05]",[-18.602709 -27.96337 ]
89999,23065.79686201605,761.2808837890625,1439.65673828125,"[ 8.08245021e-01 -1.01055577e+00  1.84557650e+00 -1.74549611e+00
 -1.26816064e+00 -3.09598960e-04 -2.59073462e-02 -1.43658287e-02
  2.53376232e-03 -2.08514008e-02]",[-2.9169016 -2.1065304]
99999,32411.748193627503,735.4207153320312,1462.6605224609375,"[ 1.16883983e+00 -8.02795150e-01  2.18951443e+00 -1.74620557e+00
 -1.40886947e+00  2.93282824e-02  1.51572593e-02  3.43214243e-02
 -4.91001454e-04 -4.83686504e-03]",[-73.205986    2.8129745]
109999,40269.35324364848,1302.7841796875,1517.888916015625,"[ 1.34791708e+00 -6.18916767e-01  2.36033911e+00 -1.74623317e+00
 -1.47700122e+00  2.65548214e-02  2.75429205e-02  4.39837347e-02
  6.30815517e-05 -3.86344144e-02]",[-75.79291      0.34683076]
119999,34805.788546878364,1082.3299560546875,1395.517578125,"[ 1.05164379e+00 -9.32365314e-01  1.62098876e+00 -1.74615851e+00
 -1.53814285e-01  2.00198806e-02  2.39406181e-03 -3.36398538e-03
  1.95495111e-04  6.44449952e-02]",[-66.68166      0.07063415]
129999,72769.78167837806,2186.0986328125,812.0877685546875,"[ 1.21102199e-01 -1.39667393e+00  7.58464806e-01 -1.74600874e+00
  1.37955665e-01 -2.32083939e-02 -1.10073483e-02 -3.13169019e-02
 -6.53850311e-05  3.50549707e-02]",[-47.71695     -0.90732974]
139999,77356.36638315736,2795.1572265625,-260.78631591796875,"[ 1.02149079e+00 -1.46630604e+00  1.50163356e+00 -1.74626686e+00
 -5.43696670e-01  8.93918424e-03 -2.54958481e-02 -2.09296962e-02
 -1.32360649e-03  9.24040652e-02]",[-79.80468    8.667768]
