step,cost,qf_loss,actor_loss,observations,action
39999,44414944.43631483,69354684416.0,28806.29296875,[-5.19415433 -1.28271334  0.50283512 -0.14958731  0.03951157 -0.01679054],[-0.26317877 -0.39576665 -1.1324122 ]
59999,27115486.79216313,39280902144.0,248660.46875,[-3.23937559  1.45415202  3.09421012  0.20570583  0.04127109 -0.00506552],[4.7627754 3.0901542 1.6703635]
79999,52369879.31618941,45964480512.0,745745.5625,"[-7.61119222e+00 -1.54464760e+00  2.69920093e+00  8.41648641e-02
 -7.03883592e-03  1.21189004e-03]",[ 2.084079    0.10827975 -9.637511  ]
99999,33572451.02526293,27084552192.0,1644615.0,[-3.87891573 -1.56591644  0.00641068 -0.09289373 -0.03339561  0.03233027],[20.780735  -4.3259406 19.271086 ]
119999,43468283.67845623,8896546816.0,2898852.0,"[-9.42066630e+00 -1.54538246e+00  1.70463940e+00  1.39622639e-01
 -3.03901943e-01  3.93618906e-03]",[ 17.900393 -16.59252   -9.199398]
139999,33342706.62340948,152333107200.0,3308606.0,[-6.10750723 -1.52074212  4.24103007 -0.05362631  0.14971311 -0.02201167],[11.308982   0.9412562 -2.6065018]
