step,cost,qf_loss,actor_loss,observations,action
29999,380284763201507.44,5.362373926635192e+22,64576616.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
39999,380284763201507.44,2.40289918406323e+23,1153479040.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
49999,380284763201507.44,4.5265031336354514e+23,3348589824.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
59999,380284763201507.44,4.783463756566434e+23,5160738304.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
69999,380284763201507.44,4.214137066360736e+23,7595095040.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
79999,380284763201507.44,5.8419577473542486e+23,9519921152.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
89999,380284763201507.44,6.887579009255157e+23,12109796352.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
99999,380284763201507.44,5.031916539369359e+23,15146840064.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
109999,380284763201507.44,5.7478062141203814e+23,15606300672.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
119999,380284763201507.44,6.436014964121734e+23,19111149568.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
129999,380284763201507.44,7.284782084870428e+23,22480777216.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
139999,380284763201507.44,6.962753814811166e+23,23241936896.0,"[ 5.84789966e+05 -5.92397837e+05 -5.80791654e+05  6.56776852e+02
 -6.53639805e+02 -6.49891894e+02  1.13397461e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-500.  500.  500.]
