step,cost,qf_loss,actor_loss,observations,action
19999,18833596.586418282,107668576.0,1096.609619140625,[ 2.51928069 -0.8291256  -2.88628881 -0.13943649  0.01337146  0.01772423],[-0.8242276   1.4081565   0.36631903]
39999,16699238.23591887,87176776.0,50054.2265625,[-1.33856102  1.56944568 -3.09707373 -0.10290934  0.08466443 -0.07394731],[-5.6076083  3.418218   3.5741713]
59999,19650073.23792136,400403680.0,232358.53125,[ 1.93749922  1.55849908 -2.89844403  0.01078361 -0.03725715  0.06060802],[-0.9143498  1.8573759 -3.8216293]
79999,17244140.74012563,18097206.0,451855.78125,[-0.88774172  1.53888307 -1.28169802  0.12556798 -0.2901881  -0.01667638],[ 6.0446663  -0.35226226  2.254368  ]
99999,17158042.89155642,12915034.0,589756.5,[ 1.19018614 -1.54259926  0.94031377 -0.17878969 -0.16357548  0.01207506],[ 0.41673076 -0.14905919  0.84717095]
119999,16004705.249167686,15888929.0,690255.75,[ 2.82459755 -1.51441951  1.94413133  0.05942971 -0.13230905 -0.01021092],[-19.195578   -5.4833217  -2.6320636]
139999,18802119.59440393,18119886.0,743191.9375,[ 1.42694814  1.36242548 -1.4060552   0.40553586 -1.66569544 -0.04845785],[ -3.5750299 -19.63209    29.69934  ]
159999,17392299.769217923,73474208.0,726222.375,[ 1.65535678 -1.27871364  1.77510148  0.11600914 -0.62261958 -0.03383244],[-53.01749   -5.736008  39.1669  ]
179999,16522907.864621758,1411159424.0,736943.375,[-1.87180153  1.52026976 -1.59855919  0.06081698 -1.02889173  0.03931616],[  6.8793387 -21.302862   19.757685 ]
199999,17144795.091114532,53271828.0,723071.375,[ 2.10922396 -1.25858649  0.94979412 -0.32154938 -1.04957642  0.25326954],[-24.80407     -0.13586408   8.900714  ]
219999,18800323.609860815,612877568.0,701117.125,[-2.33695991 -0.53880895 -2.23771353 -0.07823468 -0.00260851 -0.02681259],[ 21.24678  -18.602652  19.565971]
239999,19085356.719336722,776412800.0,726458.4375,[ 2.82038906  1.50998413 -1.18442244  0.37861464 -1.21538983 -0.17001933],[ -8.067805 -47.363556  40.294273]
