step,cost,qf_loss,actor_loss,observations,action
29999,-81296.4822555936,166967392.0,-35361.21875,"[ 5.75954765e-01 -9.08807412e-01  1.73454276e+00 -1.74647754e+00
 -1.74649365e+00  1.80146706e-01  1.28770022e-01  2.36464853e-01
 -5.53290165e-05 -4.93297991e-04]",[-100.       -99.63631]
39999,-179907.2383445367,483765.40625,-86313.7109375,"[-1.55071172e-01  8.15325817e-01 -5.46027456e-01  1.74650103e+00
 -1.64155300e+00 -3.75263433e-01 -2.86845183e-01  3.90438348e-01
  6.48014343e-04 -1.25924130e+00]",[ 100. -100.]
