step,cost,qf_loss,actor_loss,observations,action
29999,1375.3381315168092,0.44459137320518494,-10.02070426940918,"[ 0.12663281 -0.75320882  0.65861239 -1.71772116  1.5182748   0.33508803
 -0.38657855  0.4878791  -0.41741141 -0.91778056]",[-63.9588    18.227133]
39999,1477.8324688426278,17.922170639038086,-64.93699645996094,"[ 0.65756683 -0.97245245  1.40662321 -1.74443927 -0.14749803  0.4161421
  0.03922723  0.60972471 -0.02097628 -1.76490655]",[-91.69596  -61.482864]
49999,1006.2605638839096,11.519181251525879,-141.15243530273438,"[ 0.48460602 -1.05220119  1.35174254 -1.73487258 -1.74642701 -0.20496509
  0.04602613 -0.35375632  0.31592364  0.00341782]",[  8.583613 -82.04773 ]
59999,199.4497318715123,6.628785133361816,-147.2791748046875,"[ 0.73324553 -0.64274027  1.78953171 -0.92368577 -1.71538368  0.18150684
  0.01974678  0.23537722 -0.17661309  0.3141265 ]",[ 7.260251 10.158837]
69999,2056.0667555674027,3.06895112991333,-146.54481506347656,"[-6.11403521e-01  4.96115573e-01 -1.49813652e-01  1.74551120e+00
 -1.74558878e+00 -2.20022942e-02 -1.57793523e-02  3.20979973e-02
 -3.43254440e-04 -3.01394994e-04]",[  5.003432 -11.397979]
79999,2755.526529426775,6.173537731170654,-140.11070251464844,"[ 0.31675258  1.03527011 -0.99149837  1.74586234 -0.81350968  0.04320826
  0.02987343 -0.05150688  0.02077222  0.12934041]",[39.45651 73.38454]
89999,1072.5817305720334,1.5364041328430176,-118.32910919189453,"[-0.4245422   0.12237285 -0.10353819  0.78746009 -1.74534068 -0.00781986
  0.30685905 -0.31196342  0.55912213  0.05225745]",[-26.311958  16.297207]
99999,355.2912691476129,2.7206578254699707,-123.18731689453125,"[ 1.16168628 -0.48616782  2.31792162 -1.74617864 -1.74550371  0.02479134
  0.02545003  0.04408721 -0.02308362  0.01123647]",[21.069277   6.9659934]
109999,399.0882691213334,1.0425512790679932,-130.66278076171875,"[ 0.15356495 -0.6635933   0.94717122 -0.47825817 -1.74669618 -0.11175416
  0.12185845 -0.19422449  0.30395618 -0.01051402]",[ 19.214245 -47.578484]
119999,410.7732675258396,0.8833290338516235,-119.81593322753906,"[ 0.99867917 -0.87288363  2.05080165 -1.74631392 -1.74524736  0.03052248
  0.00676428  0.04501421 -0.03833328  0.05236002]",[-29.489359  52.146904]
129999,470.9891508773428,0.6135265827178955,-122.91680908203125,"[ 0.86284642 -1.05637325  1.85000987 -1.74391186 -1.74537304 -0.02909351
 -0.01687191 -0.05248683  0.06958788 -0.00418809]",[  3.2840657 -26.300919 ]
139999,451.4601325403792,0.5199469327926636,-121.53919982910156,"[ 0.94974551 -0.90356057  2.02527724 -1.72588139 -1.74526889 -0.02586678
 -0.01456626 -0.04746747  0.07707171 -0.01525523]",[ 24.378529 -19.287855]
149999,624.5945756690371,0.5310671329498291,-122.8261489868164,"[ 0.44616379 -1.25724892  1.52861346 -1.73939615 -1.7408349   0.04763953
 -0.04785716  0.06597865 -0.12065841  0.14410576]",[-65.234695 -21.0071  ]
159999,441.89429411773915,0.4248359203338623,-122.17351531982422,"[ 9.99105155e-01 -8.00352291e-01  2.19466979e+00 -1.74384329e+00
 -1.74592657e+00 -7.21928692e-02 -4.57884145e-02 -1.46559711e-01
  1.87588456e-01 -1.37003635e-03]",[71.74053   9.819187]
169999,610.0838145633018,0.5571017265319824,-125.02439880371094,"[ 0.63849025 -1.20991553  1.76116963 -1.74564725 -1.7455363   0.01450195
 -0.02613626  0.00735819 -0.02662002  0.07101149]",[-82.1975   34.18199]
179999,517.6845274802781,0.5045863389968872,-122.5124740600586,"[ 0.69628131 -1.09653646  1.79769983 -1.65307639 -1.74624674 -0.0733866
 -0.01676985 -0.12355099  0.15911497  0.01180879]",[ 29.316208 -17.44531 ]
189999,456.876718374085,0.42471516132354736,-123.70439147949219,"[ 0.93280373 -0.84460311  2.17706169 -1.74588981 -1.74608028  0.01999896
  0.00948551  0.03805921 -0.01842388 -0.02333867]",[-54.97836   -9.844932]
199999,445.0940596082341,0.43798065185546875,-122.26170349121094,"[ 0.86730845 -0.85122004  2.08343295 -1.58484859 -1.74042585  0.09135857
  0.01928677  0.12825855 -0.15306692  0.07931632]",[-20.784609   2.8922  ]
