step,cost,qf_loss,actor_loss,observations,action
29999,-184291.08855829647,2030478848.0,-98219.046875,"[-6.63597291e-01  3.97389585e-01  1.54443573e-01  1.74648520e+00
 -1.74650932e+00 -1.26925986e-02 -2.02341591e-02  3.08559308e-02
 -1.30914908e-08  1.37111985e-08]",[ 100. -100.]
39999,-41201.62815690361,280278728704.0,-1191582.5,"[ 5.84776908e-01 -1.39072624e+00  1.74863939e+00 -1.74648516e+00
 -1.74650928e+00  4.48779201e-04 -1.92182061e-02  5.63683694e-04
  5.62790044e-09  5.45768146e-09]",[-100. -100.]
49999,-41201.62300668048,1771574394880.0,-3621103.5,"[ 5.84777040e-01 -1.39072616e+00  1.74863951e+00 -1.74648516e+00
 -1.74650928e+00  4.48788047e-04 -1.92182006e-02  5.63692837e-04
  5.62789906e-09  5.45768055e-09]",[-100. -100.]
59999,-98987.35952001605,9157316968448.0,-8998644.0,"[-6.63847179e-01 -3.94105690e-01 -1.59377000e-01 -1.74648519e+00
  1.74650932e+00 -1.24843414e-02  2.03030782e-02 -3.08577722e-02
  1.30485205e-08 -1.37600131e-08]",[-100.  100.]
