step,cost,qf_loss,actor_loss,observations,action
27867,[10460.159],750470.75,1842.95361328125,[ 2.76378524  2.22033811 -2.32699812 -1.76693016],[-1.9650402]
37867,[9543.524],256638.25,1731.884765625,[-0.64682501 -3.06180433 -0.14155792  1.32115898],[0.25092688]
47867,[10778.654],345211.8125,1447.386474609375,[ 0.90156784 -3.11601078 -1.4063328   1.06001037],[0.4251305]
57867,[10058.015],152074.375,1418.7420654296875,[ 0.54204195  3.16846419 -0.39155042  1.14694702],[-3.533815]
67867,[9853.099],194437.5,1367.0758056640625,[1.18759989 2.8364343  0.23443558 2.78233577],[-0.30086854]
77867,[10298.215],136877.25,991.4480590820312,[-1.54128664  3.21918687 -0.10795855  0.04493365],[0.8621769]
87867,[10001.453],217815.625,796.5218505859375,[-0.87531937  2.93820183 -0.5400952   2.225384  ],[0.45984808]
97867,[10424.057],107819.171875,647.525146484375,[-0.56947391  3.29020535  1.11079595  2.65094348],[1.6949413]
107867,[10280.409],179326.53125,471.61907958984375,[ 1.02239388  3.0864939   0.50788598 -3.0669651 ],[-2.0210574]
117867,[11056.912],117376.8515625,323.9787902832031,[ 2.22348971  2.9431218  -1.5462222  -4.77595779],[-4.4405856]
127867,[11047.3125],95444.1875,37.00077819824219,[ 2.20328355  2.78676941  0.2385555  -1.12895416],[-0.6790032]
137867,[11067.503],46331.140625,0.021755218505859375,[2.67066808 2.48920561 0.24412544 6.18145394],[0.9347709]
147867,[11659.564],74127.8125,-72.47918701171875,[1.35929093 2.13297278 1.41094874 1.52937304],[6.0001206]
157867,[11586.988],41655.4609375,-326.4658508300781,[ 2.35493013  3.39138988 -1.67600819 -4.76818086],[-4.6841297]
167867,[11540.948],60622.2109375,-453.02850341796875,[2.20872213 2.63419947 1.26103485 3.70262429],[0.7607859]
177867,[11637.211],95625.4375,-568.2667236328125,[ 2.20011997  2.25531133 -1.09087467 -2.58663631],[3.193596]
187867,[12551.14],32098.27734375,-612.886962890625,[ 1.43432616  2.37489786  0.96679457 -3.33515808],[-0.9671572]
197867,[11264.545],55545.94140625,-630.872314453125,[ 2.0005589   3.52275473 -2.67515512 -6.57860437],[-5.897958]
207867,[11562.076],17303.888671875,-754.0111083984375,[ 0.66455593  1.80364423 -2.00737584  1.56908735],[-1.0361328]
217867,[12615.43],54734.1875,-767.813232421875,[ 0.7374345   0.9952144  -0.09748439 -5.23638622],[3.8745747]
227867,[12633.211],43213.6484375,-929.9533081054688,[0.33952665 2.5205844  4.23011055 9.70028527],[9.496767]
237867,[11842.369],46485.90234375,-884.053466796875,[-0.54529824  1.43392873 -0.22610368  0.78999104],[-3.031729]
247867,[13712.227],59035.08203125,-1007.61279296875,[ 0.66299203  1.1445251  -0.9072472  -1.69384866],[-4.9262385]
257867,[11575.935],20556.658203125,-1065.8709716796875,[-0.17866047  3.610158   -1.1861301  -4.7000063 ],[-5.6667457]
267867,[12454.151],47046.53125,-1204.0609130859375,[ 0.99574648 -3.13320581  0.96027219 -0.83307615],[0.22884189]
277867,[11060.513],20588.533203125,-1260.68505859375,[ 0.51279613 -3.46838534  1.01642249  0.20131448],[2.8803737]
287867,[11304.701],24880.87109375,-1460.822509765625,[ 1.29158306 -3.27538535 -0.12223053 -0.50411713],[-1.0687107]
297867,[10251.574],24214.68359375,-1361.333251953125,[-0.48606332 -2.79347994  2.48257332  5.40543346],[5.631464]
307867,[12081.565],30575.5703125,-1447.593994140625,[ 1.4731127  -2.26920641  3.80310835  2.78818022],[11.187023]
317867,[11940.836],24239.748046875,-1348.5736083984375,[ 0.66660364 -2.73121676 -0.37334274  2.33826995],[4.715901]
327867,[11198.345],25567.35546875,-1217.532470703125,[-0.20208781 -1.59247267  1.4933948  -5.05207258],[-7.430856]
337867,[10903.62],35737.5625,-1187.06005859375,[ 1.9875177   0.22690008 -4.12562097  9.30934807],[-9.562751]
347867,[10673.894],19474.2734375,-1156.972412109375,[ 1.30958609  2.26617992 -2.60802367  3.22828766],[2.8590925]
357867,[10312.844],62935.6171875,-1169.2581787109375,[-0.42611777  2.55865325 -1.89282826  3.34445057],[-0.8153024]
367867,[8287.427],38618.21875,-1131.1376953125,[-2.78419008 -0.08359627  2.04818936 -5.55098657],[1.3866422]
377867,[10485.895],114238.609375,-1103.770751953125,[ 0.14671127  0.42308223 -0.20688838  1.25660821],[4.131933]
387867,[9447.399],14783.22265625,-1168.77294921875,[-0.91877007 -0.03023242 -3.9755913   7.39973121],[-12.890651]
397867,[8612.468],44001.0390625,-1183.9892578125,[4.17437311 3.20442554 0.39663778 5.32605697],[3.5779057]
407867,[9806.313],13223.26171875,-1260.11767578125,[-1.59248346 -3.87928148 -2.68441263  0.75789252],[0.26879576]
417867,[12099.607],47757.640625,-1172.9859619140625,[ 0.49103929 -2.11402494  1.8341871   3.86563981],[2.5395923]
427867,[11223.891],22869.330078125,-1294.688232421875,[2.31267304 4.07162714 3.37115225 0.19607863],[9.305693]
437867,[9520.376],12471.166015625,-1261.2554931640625,[ 1.68362467  0.01705732  1.37000287 -4.1892856 ],[3.5254586]
447867,[10469.208],15360.09375,-1511.80615234375,[ 1.32175526  1.03458021 -0.53075838 -1.15589489],[8.708769]
457867,[8878.746],20357.572265625,-1520.143310546875,[-1.79444724  0.17305079 -0.7672935   3.60609499],[-5.982898]
467867,[7265.309],31192.72265625,-1642.4229736328125,[  4.56688776   3.59360487  -3.49701447 -10.25244558],[-9.479226]
477867,[6972.4707],36775.58984375,-1849.3349609375,[-2.98649461  1.81240867  5.31820645  5.2587201 ],[1.0168109]
487867,[7272.4106],26071.650390625,-1899.691650390625,[ 4.06737455  3.44078685 -2.33279421  0.15652562],[0.5190669]
497867,[5618.832],83587.484375,-2115.141845703125,[-4.78332734  0.55252696  2.29259416 -0.5101575 ],[-0.25533196]
507867,[4118.5137],48461.78515625,-2281.7431640625,[ 0.86646428  0.14986954 -0.95652235  1.9139718 ],[-2.4470875]
517867,[3820.5078],74294.984375,-2720.11328125,[ 0.52595222  0.03510627  0.96175328 -3.92074018],[5.9383225]
527867,[3744.9062],19487.1015625,-3082.548828125,[ 1.38275657 -0.01954985  0.98532551 -1.14159548],[2.8394616]
537867,[5628.052],31195.4296875,-3532.841552734375,[ 0.56291925  0.06092117 -2.4681432   5.52528285],[-4.9687915]
547867,[3705.3923],27171.486328125,-4050.167724609375,[ 0.17677214 -0.2194742  -1.36693761  0.77559333],[-2.9904845]
557867,[3577.132],42136.4296875,-4641.451171875,[-0.08694968 -0.09044386  2.01183021 -3.64753243],[4.254669]
567867,[3425.6458],39255.67578125,-5452.90234375,[ 0.15148332  0.02229976  1.56571448 -3.04930606],[4.2673535]
577867,[2898.2388],27393.2890625,-5949.94482421875,[-0.47441936 -0.08779063  0.59869502 -2.12680338],[-0.05779885]
587867,[3029.5188],35011.265625,-6560.2646484375,[ 0.37394914 -0.10494828 -0.99708903  2.16140853],[-2.983861]
597867,[3237.0095],16583.22265625,-6684.0517578125,[ 0.25060792  0.17568078 -0.92058503  1.75670068],[0.9762509]
607867,[2566.0232],22312.251953125,-7033.25146484375,[ 0.15713585  0.1913613   1.36513274 -2.87882172],[7.5404654]
617867,[2744.8794],34283.99609375,-7177.25732421875,[ 2.88613326e-01  6.90858334e-04 -3.00689800e+00  4.43640619e+00],[-4.75285]
627867,[2622.9583],26598.54296875,-7155.09130859375,[ 1.43213307  0.0342978  -0.7542332   1.05946766],[0.69949704]
637867,[2893.4841],65423.40625,-7204.572265625,[ 1.74708055 -0.2041036   0.2641378   0.64232297],[-1.9813769]
647867,[3244.4045],78380.5625,-7383.5517578125,[ 0.0899909  -0.11625132 -1.49828636  2.3380763 ],[0.4817294]
657867,[2590.9316],20702.8125,-7295.11572265625,[ 0.42209188  0.11998056 -0.49026065  2.51970975],[-2.3139014]
667867,[2872.4956],28622.234375,-7414.869140625,[ 1.50970425 -0.3750145  -1.85409729  3.31719451],[-8.437815]
677867,[2803.5981],44736.09765625,-7372.330078125,[ 2.57184906 -0.17313779  2.33423984 -3.24964448],[2.8797686]
687867,[2370.7861],33147.6953125,-7165.29248046875,[ 1.42648774  0.06259406 -0.81743694  0.16163815],[0.9163546]
697867,[2437.2314],17646.41015625,-7345.24560546875,[ 1.4619183  -0.01268514  1.60587786 -1.43059405],[0.9103489]
707867,[3188.8103],30074.140625,-7252.5224609375,[ 0.93314218 -0.1240497  -0.11372026  1.38717072],[-2.4221954]
717867,[2713.1555],26605.2890625,-7161.0380859375,[ 0.48976726 -0.09212637  0.6232058  -1.78109648],[0.70386314]
727867,[2711.017],15274.638671875,-7014.56640625,[ 0.03201889  0.0404194  -0.12643356 -0.20237463],[-1.6819022]
737867,[2331.6917],18303.53515625,-7049.2138671875,[ 0.23950934 -0.15515127  1.17767059 -5.08317533],[4.5088177]
747867,[2280.466],13262.46875,-6997.3046875,[ 0.95139451 -0.23319759 -0.13526849 -1.08287457],[2.4336815]
757867,[2502.965],24113.48828125,-6917.69677734375,[ 1.93615396 -0.17039457 -1.27461995 -0.86036723],[1.1610551]
767867,[2915.3547],23307.76171875,-6967.7900390625,[ 1.75211685  0.17109407  0.92454024 -2.03953865],[3.5136926]
777867,[2797.6064],7782.10693359375,-6949.91162109375,[ 1.03608452 -0.22720746  0.7770948  -1.74134133],[-1.3994775]
787867,[2708.4846],8979.294921875,-6946.61083984375,[ 1.37641085 -0.07588053 -0.57592228 -0.99168002],[1.7560847]
797867,[2098.4854],22384.099609375,-6880.6064453125,[ 1.00106816 -0.05784469 -1.03906481  0.53442444],[-2.0120997]
807867,[2949.3657],14142.494140625,-6907.84375,[ 1.67807091 -0.00916005 -0.52392183  0.53701343],[-0.04413164]
817867,[2764.2764],25203.36328125,-6816.79345703125,[ 1.43259905 -0.23564261  0.32854655  0.15637348],[0.3903235]
827867,[2152.422],18912.392578125,-6906.197265625,[ 0.98408964 -0.13354276  0.96750434  0.10286608],[0.01529949]
837867,[2783.2678],18557.94921875,-6887.46875,[ 0.80647797 -0.15911291  1.11372975 -0.96657288],[2.1586757]
847867,[2683.813],14310.6396484375,-6844.14453125,[ 2.41294682 -0.39534715  0.39607937 -0.27622711],[-2.9879413]
857867,[2874.384],9049.9111328125,-6869.583984375,[-0.03269247  0.18770205 -0.48150626 -1.78009828],[4.201083]
867867,[2402.679],13286.4609375,-6877.57080078125,[-2.13846573  0.26511324 -1.00427595  2.19959078],[0.35431617]
877867,[3148.0266],7448.7841796875,-6775.39111328125,[ 0.77352465  0.05014242  3.65676051 -5.37662726],[7.185637]
