step,cost,qf_loss,actor_loss,observations,action
19999,560124.6241427782,3862.531005859375,133.0323028564453,"[-2.02412270e+05 -3.29022467e+05 -7.18775247e+04 -2.73713997e+02
 -3.45832127e+02 -2.03366937e+02  1.48039137e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[300. 300. 300.]
29999,931775.5074241809,54060.484375,2659.538818359375,"[-3.34311511e+05 -3.29725047e+05 -1.59903474e+05 -3.43724926e+02
 -3.46222733e+02 -2.57323236e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[300. 300. 300.]
39999,1010000.26502134,116052.0625,5460.89892578125,"[-3.34715142e+05 -1.93468899e+05  3.29101008e+05 -3.43961950e+02
 -2.73771151e+02  2.57833058e+02  1.48047930e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[300. 300. 300.]
49999,924727.8999431075,1008860.375,9183.171875,"[ 3.23008438e+05  1.69284415e+05  3.39474120e+05  3.49831242e+02
  2.60296960e+02  3.51246602e+02  1.48038844e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-300. -300. -300.]
59999,922108.4612902271,333917.1875,14394.5986328125,"[ 3.22592735e+05  1.70006234e+05  3.39023013e+05  3.49606034e+02
  2.62557019e+02  3.51001182e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-300. -300. -300.]
69999,929903.6048673677,304419.3125,19424.23046875,"[ 3.22588096e+05  1.76487406e+05  3.39017925e+05  3.49601428e+02
  2.66315910e+02  3.50996292e+02  1.48040336e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-300. -300. -300.]
79999,488677.638611491,568006.625,21075.109375,"[ 3.20122716e+05  1.62668650e+05  5.18106054e+04  3.48158944e+02
  2.58317567e+02 -7.75533554e+01  1.48038511e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-300. -300.  300.]
89999,839750.0255858656,523933.78125,30697.5390625,"[ 3.23615572e+05  3.30196310e+05 -9.25016730e+04  3.50180682e+02
  3.48780507e+02 -2.16611265e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-300. -300.  300.]
99999,1196202.3676458013,1080921.0,37264.77734375,"[ 3.23398854e+05  3.29750299e+05 -3.18164829e+05  3.50059669e+02
  3.48532921e+02 -3.42510063e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-300. -300.  300.]
109999,1196202.3676458013,231600.171875,40816.51953125,"[ 3.23398854e+05  3.29750299e+05 -3.18164829e+05  3.50059669e+02
  3.48532921e+02 -3.42510063e+02  1.48038477e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[-300. -300.  300.]
39999,124198.11271189929,24312.59375,2322.744873046875,"[-1.01521474e+05 -1.09858410e+05 -9.19559722e+04 -9.69689101e+01
 -1.07444331e+02 -9.98779927e+01  1.82679492e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[100. 100. 100.]
59999,124198.11271189929,4498253.5,6063.16162109375,"[-1.01521474e+05 -1.09858410e+05 -9.19559722e+04 -9.69689101e+01
 -1.07444331e+02 -9.98779927e+01  1.82679492e+03 -8.67388689e+02
 -6.32238465e+03 -3.92201780e+03  6.55219154e+00  1.16279950e+00
 -2.35618305e+00]",[100. 100. 100.]
