step,cost,qf_loss,actor_loss,observations,action
40810,16820098.507518046,807694976.0,12064.7783203125,[-4.01125427 -1.42002549  5.11297008  0.13516019  0.30092627  0.03145422],[ -2.0619686   6.607102  -13.275196 ]
46556,21688243.413973127,585602048.0,40554.3359375,[-4.04335223 -1.55833026  7.96334791  0.180431   -0.60140246  0.01040958],[  0.613049  -47.97721    -1.9369293]
50723,2830910.8348597153,727135232.0,74726.859375,[ 4.00653428 -0.14438151  0.40963588 -0.01013402  0.17260119  0.06681595],[-1.0900307   2.3389316   0.26536697]
54142,2799065.489866752,542040896.0,117122.953125,[ 4.00650626  0.07777509  0.34820261 -0.02779147  0.17467578  0.06948764],[-1.5640335   3.3432744  -0.63966453]
57517,2716225.2233735574,452593408.0,163098.75,[ 4.00010168  0.27585323  0.3749546  -0.04069391  0.17676171  0.07364865],[-1.4693314  2.0556333  1.6714258]
60845,2710134.8592529753,664168704.0,220017.390625,[ 4.01352495  0.46080411  0.40303329 -0.05523747  0.17400306  0.07384705],[-0.85993195  3.0928197   2.4278152 ]
65155,28565370.86923407,273614464.0,286914.1875,[-4.01199416 -1.48477158  5.21356951  0.10308277  0.05113921 -0.22355685],[ -1.0058677 -11.205061  -37.647217 ]
69156,2701902.8739171503,185683136.0,400376.625,[ 4.00650189  0.0391336   0.05946265 -0.05493791  0.15920432  0.09406242],[-0.899753   2.6938725  5.5632896]
72312,2671361.7467929805,188591440.0,487871.1875,[ 4.00796288 -0.09159292  0.11723495 -0.04037568  0.16382104  0.09483856],[-1.2319484  3.1030731  5.952989 ]
75416,2645684.0808737767,349277440.0,528449.0625,[ 4.00932673 -0.54302719  0.25708346 -0.00719854  0.17148053  0.09559252],[-1.8542057  0.5073653  7.2526193]
78453,2718948.5064454963,202653232.0,637837.25,[ 4.01572687 -0.9896636   0.59629812  0.02017013  0.17393929  0.09533749],[-2.9579217  3.2633224  8.414563 ]
