step,cost,qf_loss,actor_loss,observations,action
29999,1504.4199847057848,0.5805157423019409,-10.256537437438965,"[-0.53024338 -0.55369852  0.16602302 -1.74725417  1.74538474 -0.01455203
  0.01092547 -0.06760829  0.04326576 -0.12078924]",[-70.655266 -55.38358 ]
39999,1825.5512672069126,178.2867431640625,-171.88169860839844,"[-8.74951646e-02 -9.08615289e-01  6.09020065e-01 -1.74628233e+00
  1.44072397e+00  7.17010850e-01 -5.45039300e-01  7.31177252e-01
  6.53500532e-04 -2.45530046e+00]",[-98.24227    8.510901]
49999,1333.3660937663522,34.129337310791016,-331.3465270996094,"[ 8.92684395e-01 -2.00455535e-01  2.63016601e+00 -1.74646972e+00
 -1.74601218e+00 -4.06163175e-03  4.86360286e-02  5.00339590e-02
 -3.02104304e-04 -1.30698168e-03]",[-99.89954  -48.011772]
59999,2581.2442236278675,106.00137329101562,-502.0916748046875,"[-1.57407572e-01  9.75553873e-01 -5.52876510e-01  1.74558427e+00
 -1.28097397e+00 -2.76323842e-02 -1.16599764e-02  3.61290330e-02
 -2.47593958e-04 -7.82980753e-02]",[10.434991  -0.2957192]
69999,2107.5924028588515,81.57898712158203,-616.0050048828125,"[-8.00251898e-01  2.48410401e-01  2.35393018e-01  1.73747378e+00
 -1.74428278e+00 -1.17390240e-02 -3.28060275e-01  5.82813260e-01
 -4.36125394e-01  4.85222008e-04]",[-1.6415752 -4.448434 ]
79999,2420.7872447148347,40.77490997314453,-531.7918701171875,"[-5.94976977e-01  5.19589996e-01 -6.14402108e-02  1.74557921e+00
 -1.74589254e+00 -1.73450466e-02 -1.60225604e-02  2.92869064e-02
  2.91201391e-04  2.15797920e-04]",[ 11.596275 -32.800568]
89999,1578.212339116026,100.97407531738281,-538.9696044921875,"[-7.39720278e-01 -3.95307366e-01 -2.10567692e-01 -1.74555546e+00
  1.74555338e+00 -1.51401081e-02  2.62655002e-02 -4.47878257e-02
  1.03254933e-03  3.67998132e-05]",[-7.026731  8.625182]
99999,1185.2119570011002,58.126319885253906,-592.9904174804688,"[-6.16018497e-01 -4.80762343e-01 -2.93524767e-02 -1.74542123e+00
  1.74537132e+00 -1.48795350e-02  1.81340574e-02 -3.03806208e-02
  1.94802963e-04 -2.55453361e-04]",[-2.5314896  0.4992303]
109999,3168.956500065496,18.900543212890625,-480.58477783203125,"[ 1.07616186  0.72479467 -2.0214336   1.74555222  1.29738513  0.0688336
  0.01148955  0.0527035   0.01527842 -0.54625663]",[87.674194 38.682278]
119999,2261.385681283275,9.460521697998047,-381.4799499511719,"[ 7.98417222e-01  1.07484385e+00 -1.38202155e+00  1.74296620e+00
 -3.53176075e-02  1.69553970e-02  5.36606904e-03 -9.05960647e-04
 -4.69943577e-03 -6.51575157e-03]",[-0.77565545 -0.12324121]
129999,1611.789119871294,10.118553161621094,-309.0423278808594,"[ 0.24366045  0.79969831 -1.07368136  1.09296186  0.94021506 -0.52107199
 -0.47748541  0.69646115 -1.37905293  1.57756729]",[-11.250652    6.0952196]
139999,785.7960210182525,4.872145652770996,-223.20101928710938,"[-0.17049681  0.26444251 -0.2298846   0.54860626 -0.59725522 -0.04896549
 -0.27839165  0.33497648 -0.47644823  0.18442014]",[16.562916   3.7796404]
149999,674.071438523477,3.198390483856201,-154.60333251953125,"[ 0.03465368 -0.69750469  1.01084517 -0.69246543 -1.59363335  0.20266077
 -0.20403045  0.29404405 -0.49663064  0.31520987]",[1.235553 3.921153]
159999,427.4464029264838,2.0653538703918457,-125.81427001953125,"[ 0.36796084 -1.05988592  1.34140056 -1.64294375 -1.14628972 -0.32253909
  0.2108116  -0.30470812  0.68704458 -1.35618227]",[  3.8098245 -18.25243  ]
169999,428.0812022947676,1.77815842628479,-116.29752349853516,"[ 0.90527293 -0.86378839  1.69695046 -1.74598317 -0.47557679 -0.41651406
 -0.24599689 -0.69575026 -0.00274741  1.80050961]",[-19.590136  51.640987]
179999,404.5961352175288,1.0954692363739014,-109.51286315917969,"[ 1.06020751 -0.74996769  1.82745548 -1.68538235 -1.04329419  0.12051728
  0.07662128  0.21211927 -0.06756653 -0.39285181]",[-34.376865  28.835655]
189999,580.4712032776879,0.7158303260803223,-98.16642761230469,"[ 0.20538857 -0.92468108  0.77719315 -1.74784964  1.52403266 -0.18118456
 -0.11234645  0.08296255 -0.53947949  0.80488912]",[26.284811 -0.937342]
199999,416.1414102367511,0.6793919801712036,-102.24563598632812,"[ 1.20301013 -0.51733453  2.28468835 -1.74583456 -1.70098051  0.008768
  0.02328509  0.02972077  0.0055764  -0.07675312]",[-48.667072  19.687254]
209999,490.5638103888267,0.6515474915504456,-111.76303100585938,"[ 0.51531158 -0.97051042  1.39308917 -1.30480066 -1.74396154 -0.18387807
  0.08847015 -0.25373592  0.39813003 -0.16639781]",[40.28888  18.957508]
219999,334.9664176453146,0.41093507409095764,-121.42839050292969,"[ 0.40900203 -0.65921476  1.29299183 -0.85081948 -1.72471249  0.30186836
 -0.17109617  0.42850626 -0.61823376  0.15050194]",[-16.548552 -11.681593]
229999,250.45456067110405,0.48217982053756714,-131.04428100585938,"[ 0.54129122 -0.46920733  1.37120123 -0.44073206 -1.72910512  0.0170981
 -0.01781301  0.03652319 -0.03705043 -0.0415776 ]",[56.23472    1.9426551]
239999,270.6365231047262,0.2686149477958679,-137.77047729492188,"[ 0.54395099 -0.53581982  1.41201901 -0.59223639 -1.58527789  0.08091805
 -0.02199157  0.0734584  -0.14453256  0.14751635]",[-30.682236  -0.93206 ]
249999,295.3524710699668,0.29243162274360657,-143.67942810058594,"[ 0.57929371 -0.67588551  1.46759104 -0.82246536 -1.71094357 -0.02076604
 -0.02558781  0.01082577 -0.0105954  -0.15397175]",[-23.003992 -65.121414]
259999,288.26116697013435,0.1922181099653244,-145.703125,"[ 0.39737289 -0.52064531  1.17550212 -0.44650635 -1.72464852  0.42025048
 -0.23055629  0.4952485  -0.79347337  0.39795727]",[-2.7750556 -3.8082101]
269999,272.64068138876485,0.16561469435691833,-146.5464630126953,"[ 0.54409322 -0.56804977  1.38380975 -0.67590975 -1.74886607  0.09390341
 -0.04549227  0.11638031 -0.18204693  0.09286439]",[ 0.22936647 -8.486406  ]
279999,354.3724029816016,0.17735600471496582,-149.38525390625,"[ 0.31875796 -0.7155509   1.17118079 -0.57808109 -1.70805072 -0.03850623
  0.05541173 -0.12326066  0.14223338  0.24567364]",[ 8.686754  -4.7339544]
289999,466.8988541682943,0.18616577982902527,-150.76727294921875,"[ 0.21651785 -0.79828499  1.13855098 -0.81296881 -1.74533574 -0.12869505
  0.10117597 -0.20486575  0.30322974 -0.0372761 ]",[-29.35372  -16.695553]
299999,625.2042618910398,0.2340247631072998,-151.8380126953125,"[ 0.46386446 -1.22553901  1.64996002 -1.71770638 -1.74571463  0.11678658
 -0.02542908  0.18980381 -0.24393832  0.02120702]",[ 39.012726 -87.02318 ]
309999,460.8581205513346,0.18820524215698242,-151.33523559570312,"[ 0.10202549 -0.70445377  1.08087655 -0.51893113 -1.71228753 -0.16828279
  0.20870298 -0.32863704  0.51077751  0.19593776]",[ 0.8523509 23.428616 ]
319999,533.6227260908661,0.16117045283317566,-149.9798126220703,"[ 0.43518373 -1.13510511  1.45151946 -1.66592702 -1.44834738 -0.0846106
  0.18601608  0.0652487   0.34824353 -1.28856715]",[-46.5566  56.8874]
329999,476.5259115544112,0.1790737509727478,-147.11558532714844,"[ 0.3918257  -1.04279975  1.50740042 -1.46983117 -1.66123272  0.54710646
 -0.23366004  0.75085812 -1.12870392  0.55098833]",[1.4555707 1.202468 ]
