step,cost,qf_loss,actor_loss,observations,action
25667,[9346.154],756261.125,8.305776596069336,[-10.96132585  -2.43028498 -12.09588973 -22.01212635],[-1.163894]
30902,[11201.083],11751.8095703125,282.92828369140625,[ 1.04754466 -3.12848343  1.79573317 -0.3338826 ],[-0.34639028]
40901,[12431.26],10097.7529296875,159.2974090576172,[ 1.77332586 -2.41173874 -0.15653049  2.60257349],[-3.3442056]
50880,[11103.069],11708.5390625,-43.8408317565918,[1.27658658 1.28294925 0.64362932 4.13720576],[8.434002]
60880,[12591.249],11328.978515625,-239.35922241210938,[ 1.61384806  2.95755322  4.29277213 12.16190346],[7.078239]
70880,[11256.452],9765.72265625,-443.23297119140625,[-0.32532657  1.41370011 -2.91981281  7.31222085],[-7.2253213]
80801,[11222.216],5265.435546875,-665.1861572265625,[ 0.8674474   2.63213549  0.01982799 11.13593548],[2.4134738]
90801,[3483.2917],12555.4072265625,-1223.7225341796875,[-2.50530358 -0.06518096 -1.35075167  1.27588748],[0.39089912]
100801,[3583.8438],21826.90234375,-2963.359375,[-3.55776676 -0.2892933   1.59058247 -2.21328971],[-0.70084804]
110659,[2983.4172],10444.74609375,-3847.4619140625,[-3.77744942  0.06695054  1.36456525 -2.78824525],[2.4138947]
120659,[2525.751],7752.41455078125,-4320.802734375,[-2.13050564 -0.05949534  0.05977013  0.22180684],[-1.5870686]
130659,[2593.9573],14939.814453125,-4790.4609375,[-1.5419719  -0.15614688  0.17227498 -0.2454603 ],[-0.92820466]
140659,[2313.204],4923.7724609375,-5284.2861328125,[-2.18890379  0.01288588  0.53327885 -1.75817402],[2.5891113]
150497,[2191.641],4900.35400390625,-5498.4111328125,[-1.70560255 -0.00480893 -1.88858376  4.0560795 ],[-4.2637544]
160497,[2987.2527],5304.6943359375,-5601.77734375,[-1.35020127 -0.16183444 -0.86414146  2.05808148],[-2.816035]
170463,[2522.5518],3388.229736328125,-5710.517578125,[-0.89786359 -0.07523624 -0.46921468  0.52386042],[-0.56981826]
180406,[2135.4263],4860.74462890625,-5790.47216796875,[-1.23023397  0.23366094  0.04784325 -0.55394303],[3.9136412]
190406,[2266.036],3443.36767578125,-5955.5966796875,[-1.08280367 -0.10158195  0.68032621 -0.83328313],[1.902893]
200406,[2146.8645],2135.3046875,-6043.87109375,[-1.24322629  0.13084543 -1.01919756  2.7584967 ],[-2.5991726]
210406,[2481.6245],6424.5166015625,-6045.5537109375,[-0.64042701  0.2059739  -1.26249364  2.0331638 ],[2.5497243]
220406,[1625.9357],3061.1181640625,-6090.7861328125,[-1.1615872   0.05484989  0.12528173 -0.63895459],[1.256976]
230406,[1732.582],4023.984619140625,-6127.1201171875,[-0.374844   -0.04012741 -0.99392917  1.19592868],[-1.3429372]
240406,[2316.4521],4985.70849609375,-6124.11328125,[-0.65262056 -0.08193862  3.17661819 -3.15461357],[-1.046988]
250406,[2008.4421],3666.136962890625,-6185.1328125,[ 0.10723256 -0.07015232  1.05028361 -0.91437427],[0.9685212]
260406,[2556.0022],3903.27392578125,-6190.8984375,[ 0.13050626  0.03514974  0.42590735 -1.24266549],[0.5899327]
270406,[2720.9868],5934.2666015625,-6239.69384765625,[ 1.09162497 -0.46231506 -0.21000128  0.01438667],[-5.6437106]
280406,[3436.7615],11951.4970703125,-6178.1494140625,[-1.68776542  0.06140587  0.97227621 -0.33844799],[-1.4234504]
290406,[2231.1416],2475.7138671875,-6424.6494140625,[-0.00982619  0.29146998 -0.08780674 -0.18401626],[3.226526]
300406,[1839.9229],9845.1787109375,-6389.86279296875,[ 1.13875541 -0.10183508 -1.6000555   2.20934622],[-2.6942017]
310366,[2426.0366],4867.0771484375,-6475.1533203125,[ 1.1656211  -0.34758882 -1.54747018  1.05936246],[-3.5092535]
320366,[2579.8098],4385.185546875,-6516.4248046875,[ 0.85072366  0.14402457  0.15645575 -0.50468219],[4.3463306]
330366,[1979.9546],4688.9765625,-6574.79150390625,[ 1.44521893 -0.38518168  1.33050824 -2.68074341],[-2.2955651]
340320,[2110.3386],3320.5546875,-6607.04296875,[-0.49996448  0.10497132  4.23526469 -5.51034874],[4.5909367]
350320,[2220.6433],2870.65625,-6690.4326171875,[ 1.31263209  0.07541439  1.36076083 -1.18016902],[2.977382]
360320,[2713.0222],3189.30078125,-6684.9365234375,[ 1.54581054 -0.17476608 -2.26037258  2.0890754 ],[-3.532105]
370320,[3278.9585],5434.36083984375,-6734.9423828125,[-0.73625181  0.14428687  2.01095709 -1.77327774],[0.9007079]
380320,[2525.2644],4475.49267578125,-6714.66796875,[ 1.15222083 -0.19439499 -0.07210462  1.57640814],[-5.938022]
390233,[2468.894],2190.5234375,-6760.634765625,[-0.12840886 -0.11121843  0.91406996 -0.24053328],[-1.1461569]
400233,[2782.911],2545.74609375,-6786.28662109375,[-2.46692117  0.3444962  -1.1368423   0.14680398],[0.8700656]
410233,[3379.2046],2844.056396484375,-6834.5009765625,[ 1.39119424 -0.51793515  1.11560059 -3.84337782],[1.6772568]
420233,[2531.0105],3407.30224609375,-6867.849609375,[-2.14482414  0.37282429  0.08937054 -0.76516227],[0.95452577]
430233,[3164.4878],3656.501708984375,-6863.3525390625,[ 1.07672262 -0.03820766 -0.02447118 -1.88320953],[3.6189492]
440154,[2363.819],3132.677734375,-6863.8193359375,[ 0.17795637 -0.26906125 -0.08828673  0.10728846],[-1.9245363]
450074,[2663.3894],1976.705322265625,-6882.1826171875,[ 0.24098773 -0.0175095  -2.88135716  2.22581808],[0.29343387]
460074,[2957.2456],3108.03515625,-6919.0732421875,[-1.01373699  0.09661152 -0.68233559 -1.65532369],[4.0408974]
470010,[2240.129],3591.36181640625,-6935.08984375,[-0.25898245  0.04113019  0.33921092  0.75185879],[-3.1521168]
480010,[2890.177],2415.98583984375,-6935.79296875,[-0.06819281  0.01281171  1.70831334 -3.28243938],[5.2308903]
490010,[3198.3157],3324.935546875,-6922.4267578125,[ 0.11161169 -0.04070897  0.24152284 -0.16544299],[1.4899912]
499936,[2544.4026],3086.859375,-6958.443359375,[-0.73862335  0.08907966  1.23470077 -2.33716466],[3.9938424]
509936,[2808.8865],2221.458251953125,-6974.6767578125,[-0.91244414  0.4721113   0.76423288 -0.094277  ],[2.6039224]
519936,[3024.5984],2473.39404296875,-6973.6533203125,[-2.17062297 -0.14940337  1.03274672 -0.32089624],[-5.436775]
529936,[2230.1155],1683.48583984375,-6985.6708984375,[-0.98433134  0.08944415  1.29955299 -1.61296678],[1.9887936]
539771,[2948.025],3613.54638671875,-6954.9736328125,[-1.29658478 -0.10736659  1.41885409 -1.30236855],[-0.5370713]
