step,cost,qf_loss,actor_loss,observations,action
27162,[11416.9375],389724.09375,1221.887939453125,[-2.86491414  3.56890598  3.02505107  2.08985003],[1.3110474]
37162,[10540.863],564320.375,1888.837158203125,[ 3.23355523  2.19730882  0.13778281 -0.83806323],[1.1788719]
47162,[9718.047],240608.125,1379.1307373046875,[ 0.10582056  3.24906258 -0.24265788  0.80563718],[-0.42396006]
57162,[10135.924],128675.984375,1321.55322265625,[ 1.70698122  2.49417319  0.20711099 -1.30500725],[1.5168986]
67162,[9969.735],183661.375,1207.3460693359375,[ 0.50799752 -2.47561891 -0.02142657  0.98257221],[0.6938734]
77162,[9761.313],135042.125,898.5794067382812,[-1.52411332  3.14220005  0.33790196 -0.45459058],[3.229012]
87162,[10224.671],163290.234375,615.219482421875,[ 0.20523569  3.10782196 -0.0330466  -2.94105408],[-2.0280573]
97162,[10147.876],107001.265625,463.5835266113281,[-0.36415347  2.98627133  0.7078748  -0.8845797 ],[-0.5485627]
107162,[10568.839],118969.5234375,375.23095703125,[ 0.81913455  3.38195566  0.4643157  -0.93737637],[-1.0136305]
117162,[10436.645],132391.46875,163.86204528808594,[ 1.14439903  3.05116855 -1.51667905 -0.22701802],[-0.9295702]
127162,[10650.354],130796.9765625,129.31771850585938,[ 1.50873245  2.9751184   2.08426073 -1.13536409],[1.0135871]
137162,[11214.273],65698.109375,-327.5682373046875,[ 1.65030138  2.89428135  0.01183262 -2.53599509],[-1.0644873]
147162,[11349.683],111663.828125,-287.70001220703125,[1.15131844 2.38001486 0.32916702 2.41946681],[1.2077143]
157162,[11544.053],78345.0859375,-327.80194091796875,[ 1.38601096  2.4829062  -1.53863586 -3.98965028],[-4.523019]
167162,[11233.388],116519.359375,-482.4244384765625,[ 1.18829092  1.73368867 -1.86518984 -1.93697636],[-2.4287734]
177162,[11474.33],130332.234375,-647.0966796875,[2.05154232 1.05718411 1.13597126 1.85352531],[2.043424]
187162,[12406.514],71338.46875,-719.1312255859375,[ 0.20157506 -1.82486963 -0.01181927 -9.54129575],[4.3872914]
197162,[12015.071],52182.265625,-951.2115478515625,[2.22478783 1.73386663 1.4465327  0.03981373],[1.2073597]
207162,[12461.942],54310.578125,-924.251220703125,[ 1.06417611  3.25747665 -1.89444914 -2.92764297],[-2.8456273]
217162,[12544.6875],30805.1796875,-1013.3145751953125,[ 0.75825973  1.07352802  0.53940427 -1.65032508],[3.0195296]
227162,[12211.27],62770.57421875,-1044.5386962890625,[ 1.11758934  2.85275427 -1.5868213   1.09055035],[0.11089585]
237162,[12421.342],54884.2109375,-1091.3465576171875,[-0.87741809  2.99519687 -0.94353636  8.81128686],[1.9713309]
247162,[13413.802],28588.609375,-1166.5693359375,[-0.16708782  2.49043053 -1.66263433 -7.56125186],[-0.98985034]
257162,[13612.338],48304.421875,-1127.3226318359375,[-0.46175868  2.97826658 -0.42510812 -7.98396286],[0.84148276]
267162,[12119.134],44014.99609375,-1090.236572265625,[0.20053006 3.58254411 1.73544205 2.56733806],[3.7047977]
277162,[12225.955],72714.3359375,-1235.3360595703125,[  0.66482493   2.52076874  -1.38902259 -13.81320004],[-8.731544]
287162,[12025.64],24645.43359375,-1265.22802734375,[-1.04290718  3.58132735  1.89048602  1.51060615],[0.8264413]
297162,[13909.847],23791.5234375,-1315.474609375,[ 1.89605487 -1.92730957 -0.87962777  2.53444257],[-2.4098833]
307162,[13547.655],23555.70703125,-1229.67236328125,[ 1.697206   -2.13421733  3.0439764   0.53728878],[6.130246]
317162,[11910.221],20539.3984375,-1223.2823486328125,[ 2.44129444 -2.34265025  1.63467273  1.29725111],[5.834391]
327162,[11980.26],42522.0390625,-1160.612060546875,[-0.36115061  1.5960449   1.51767039 -5.53071804],[4.714183]
