step,cost,qf_loss,actor_loss,observations,action
25627,[5148.42],857694.0,22.610471725463867,[10.41619889  0.29378215 20.68283845  5.58402   ],[5.491874]
33028,[9914.69],577192.4375,2144.955322265625,[ 1.20883232  3.34118607 -0.9261358  -2.32343982],[0.7583003]
43028,[10141.694],268858.125,1451.640625,[-0.05879367  3.67770004  0.36347001 -0.33466403],[3.9266238]
53028,[10226.251],250370.578125,1430.180908203125,[-1.06468628  3.29053791 -0.16846768  2.94839756],[-2.5512407]
63028,[9899.077],191428.71875,1174.380615234375,[-0.82785753  2.62788289  0.05349149  4.35789214],[-1.5129286]
73028,[10064.762],247206.9375,1101.74609375,[-0.36379225  2.62032915  1.19014654  1.98970774],[1.7389917]
83028,[10277.915],105242.7109375,836.705322265625,[-1.10934849  3.6544095   1.54837054 -0.31057929],[1.1391551]
93028,[10040.489],146573.1875,571.5555419921875,[-0.4874855   2.53241613 -0.22006922  4.47662672],[1.3014616]
103028,[10299.369],243171.03125,655.5677490234375,[-0.22581099  3.4553407   0.18843893  0.09702581],[-0.13747007]
113028,[10342.487],139253.15625,355.56231689453125,[ 1.52428356  3.57067333 -0.32855318  2.769271  ],[-3.3176546]
123028,[10430.247],88540.5078125,116.57049560546875,[ 0.55787165  2.70974382  0.01553501 -1.84119589],[0.25516537]
133028,[10218.356],114484.984375,139.1312255859375,[ 0.5028507   3.28635246  0.29834252 -4.52102456],[-2.5078664]
143028,[10911.996],244026.46875,-119.19332885742188,[ 1.41075431  2.31865411 -2.15868687  2.37620303],[-5.6684065]
153028,[10810.707],117490.96875,-411.0045166015625,[ 0.8302011   2.44591133  0.26548045 -4.12261933],[-0.16999961]
163028,[11696.691],99464.3125,-531.4613037109375,[-0.19427355  1.77080564 -0.50679916 -2.9446468 ],[3.5052118]
173028,[11064.114],152691.4375,-516.3812255859375,[ 1.36250004  3.50998702 -0.88751718 -5.64608321],[-2.222027]
183028,[11512.933],87413.3125,-720.8515625,[ 1.24655434  0.229571   -1.61564067  1.95520272],[-1.8389053]
193028,[11914.46],61382.94140625,-830.676513671875,[0.98159629 1.34382711 2.43591839 1.82854041],[2.0668383]
203028,[12345.563],36622.5625,-862.156982421875,[ -1.61320732  -2.20982673  -1.68292366 -11.68916009],[2.756879]
213028,[11593.653],95742.15625,-970.1598510742188,[ 0.95598894  1.06680382  2.34620321 -1.55091513],[5.0074873]
223028,[11698.316],38361.87109375,-1043.6622314453125,[ 1.28194846  3.14273821  1.09840504 -2.83032777],[3.6351001]
233028,[12503.66],34665.578125,-1079.593017578125,[0.79382796 1.77198429 2.94248325 1.07142798],[-2.7365563]
243028,[12549.726],40948.1796875,-1149.378173828125,[ 0.4674936   3.25424006  0.02045661 -5.13938234],[-2.962066]
253028,[13050.612],67701.984375,-1089.388427734375,[ 2.08760001  0.48220765 -1.65769804 -1.87229522],[-3.1840832]
263028,[11747.009],23990.9375,-1262.645263671875,[ 2.30502367  2.80941155 -0.54250119  4.3532721 ],[-2.9655058]
273028,[13814.618],18039.30859375,-1389.7158203125,[ 1.21424146  3.26682623 -4.6580035  -3.53593673],[-4.4552255]
283028,[10399.493],14551.927734375,-1408.2139892578125,[ 0.60268966 -2.55988046 -3.90796321 -2.66177155],[-5.9429827]
293028,[12910.545],52181.6796875,-1372.097412109375,[ 2.26028639 -3.67414808 -1.05618689 -2.74340092],[1.1565051]
303028,[12381.728],58918.69921875,-1433.337890625,[ 1.97517916 -2.56326708 -1.56869046 -2.62171047],[-3.648869]
313028,[11312.431],14187.982421875,-1519.7015380859375,[ 0.9833729  -2.36896906  2.72501784 -0.46427638],[0.0119498]
323028,[10619.689],15315.51171875,-1449.41845703125,[-1.7245025  -3.10054127  3.25198315  6.18970164],[5.9200187]
333028,[12974.489],18964.33984375,-1436.1434326171875,[-0.04433622 -1.90388179  1.37349187  2.72871684],[-3.635716]
343028,[12348.219],26016.515625,-1295.62060546875,[-1.62231099 -2.56471167 -0.37357818 -2.34274267],[-4.3694997]
353028,[8799.968],19504.03515625,-1335.08935546875,[ 1.20866728 -2.90144671 -1.15366427  2.49168881],[1.8321414]
363028,[10765.306],36180.3359375,-1290.5028076171875,[ 0.71839135  3.3644534  -0.82493428 -1.50386682],[5.610435]
373028,[11123.044],29594.939453125,-1219.7464599609375,[ 1.77703571  2.59519052 -0.53808208 -4.83170415],[-3.8932571]
383028,[9947.668],11060.3193359375,-1240.122314453125,[ 2.32223721  1.91333044 -4.9613793  -0.73289131],[2.0611649]
393028,[9964.405],38325.75,-1237.7421875,[ 1.83645455  1.85009627 -0.02761389 -5.98844469],[1.072828]
403028,[10908.147],37643.4609375,-1227.6474609375,[ 0.18119975  2.18295507 -1.8083851  -1.27397614],[-4.268991]
413028,[10298.192],25085.58203125,-1250.0921630859375,[ 1.62403295  0.63090199  3.50632282 -0.90070675],[1.4496281]
423028,[10557.494],21769.6796875,-1262.5830078125,[ 0.44984897  0.25947174  0.73371218 -3.33388357],[4.7531695]
433028,[9906.807],23872.8671875,-1383.9566650390625,[-0.6411503  -2.04602674  3.69331011  1.01585687],[1.5634648]
443028,[9020.641],11948.9140625,-1362.94970703125,[ 0.90791422  0.33548723  2.7306958  -3.29237321],[7.486063]
453028,[7632.6855],20212.8125,-1389.6058349609375,[ 2.56219215  2.07827669 -2.80329491 -8.35741292],[-4.3110766]
463028,[9108.3125],15128.984375,-1519.7598876953125,[ 1.22006978  0.32480578 -2.17621152  3.92488085],[-6.2433977]
472992,[5867.668],7279.9501953125,-1638.6072998046875,[ 2.55895777 -0.14049141  0.78919881  0.6669913 ],[-0.9172719]
482992,[6046.7114],42654.31640625,-1708.04248046875,[ 0.24380564  0.15187806 -3.53187461  5.07223922],[-7.744892]
492992,[5587.6943],30400.232421875,-1816.661376953125,[ 4.63847288  3.507492   -1.63815092  3.50049597],[-3.659444]
502975,[4109.224],12702.478515625,-2049.56591796875,[ 1.77379257 -0.11404007  0.2110812  -0.59207596],[0.2817013]
512957,[6613.538],20664.693359375,-2369.3603515625,[ 1.90859707  0.02949259  0.90609777 -3.27664008],[5.046107]
522957,[3816.1],46805.10546875,-2658.896484375,[-0.21412619  0.21997133 -0.00755178  0.64155412],[-0.23949249]
532957,[4447.834],18823.54296875,-3158.01318359375,[-0.06697195  0.06253182  1.18202907 -1.76531105],[1.1435355]
542957,[3293.5923],36559.5859375,-3636.569580078125,[ 0.09405302 -0.14930062 -1.10882297  1.20771132],[-4.011803]
552957,[3494.0662],28278.06640625,-4240.373046875,[ 0.94766064 -0.02328089  1.97423095 -3.98495351],[5.4087653]
562957,[3169.0085],34983.5625,-4969.45654296875,[ 1.36239875 -0.06590435  0.40005204 -0.62081375],[1.1340477]
572957,[3167.218],22927.5390625,-5566.126953125,[ 1.01213329 -0.06695618 -1.44283094  3.1818836 ],[-5.8844895]
582957,[3156.0188],35172.88671875,-6162.21923828125,[ 1.40930195  0.05941637 -0.51902546  1.17464102],[-0.567767]
592957,[2675.27],43625.82421875,-6462.64892578125,[ 1.31263061  0.08353408  0.57787913 -1.05285931],[1.2242326]
602957,[3081.2097],32236.833984375,-6945.38037109375,[1.55314015 0.02241117 0.05111023 0.83659809],[0.23908359]
612957,[2084.3682],26439.48046875,-7040.11865234375,[ 1.29630675 -0.00496722  1.07514913 -1.90670939],[1.9087555]
622957,[2186.6357],33612.76953125,-7344.9892578125,[ 1.69969977 -0.101076   -1.29626437  2.34484897],[-4.15601]
632957,[2642.0615],26080.5390625,-7438.900390625,[ 1.87868415  0.04943123  0.43863819 -1.53713932],[1.1854986]
642957,[3111.5386],29656.96484375,-7530.83642578125,[ 0.90292887  0.07472069  0.67961457 -2.57445071],[5.8364215]
652957,[2629.8633],24647.58203125,-7549.1201171875,[ 1.72895421 -0.00548235  2.02839853 -2.73341779],[2.156827]
662957,[2845.2046],16365.1513671875,-7434.72021484375,[ 1.23771904  0.10304039 -0.12555037 -0.115675  ],[2.432262]
672957,[2686.6614],37374.84375,-7208.05419921875,[ 1.79488021 -0.30451847  0.88727564 -1.75070324],[-0.7805154]
682957,[3001.671],29938.732421875,-7107.5107421875,[ 1.34017129 -0.02151647 -1.98411322  4.48927503],[-3.9251416]
692957,[2899.56],138682.703125,-7071.80517578125,[ 1.10260636  0.25464891  0.75350344 -1.79875222],[3.229371]
702957,[2729.0198],16632.96484375,-6997.6943359375,[ 1.18588225 -0.22524124  2.05061633 -4.28494314],[1.8485988]
712957,[2601.4805],55423.328125,-6885.880859375,[ 1.41595696 -0.16932845 -0.14817649 -0.97849315],[-0.4913379]
722957,[2997.0547],37582.71875,-6782.76123046875,[ 1.12835079 -0.16590761 -0.05848247 -0.10365827],[-4.9939365]
732957,[2863.8738],28549.576171875,-6902.572265625,[ 0.90489728  0.13597511  0.54512652 -2.44874799],[5.3086586]
742957,[3636.457],14508.03125,-6931.02587890625,[ 1.78654794  0.21734862  0.43762151 -0.25581622],[0.7392459]
752957,[3370.3743],13953.232421875,-6849.5791015625,[ 1.85859863 -0.20288987 -2.15544771  4.35449958],[-6.221362]
762957,[2750.8823],14868.447265625,-6835.2861328125,[ 1.47044416 -0.24263481 -1.17266382  1.45272388],[-0.42643535]
772957,[2612.9448],19135.490234375,-6785.431640625,[ 1.07115643 -0.03351203 -0.50897269  1.4793425 ],[-1.7035112]
782957,[2924.7036],11094.60546875,-6885.787109375,[ 0.56709684  0.15305434  2.73111769 -4.62178682],[7.3525524]
792957,[3157.1353],15105.9560546875,-6871.16455078125,[ 2.54495929 -0.32372024 -2.34145842  3.38283991],[-6.135225]
802957,[2893.3142],16789.046875,-6851.17919921875,[ 0.63032695 -0.12572857 -1.53633487  3.1553242 ],[-3.327668]
812957,[3011.866],26638.859375,-6913.33984375,[ 0.90671172 -0.16102765 -0.06626998  0.61372353],[-3.0786004]
822957,[2573.831],13166.759765625,-6839.22802734375,[ 2.0721479   0.03261357  1.23319375 -1.37828649],[0.21808428]
832957,[2750.136],32231.9609375,-6916.98046875,[ 0.7441477  -0.05545578  0.54942334 -1.49878673],[0.43611646]
842957,[3167.7751],12412.765625,-6883.51953125,[ 0.62695929  0.10109436 -0.75192382  1.898783  ],[-2.084817]
852957,[2791.6484],9226.810546875,-6806.5537109375,[ 0.21566135 -0.03307091 -1.01949319  3.4594661 ],[-2.7926402]
862957,[2668.1943],23870.73828125,-6836.0419921875,[ 2.15024189 -0.11292424  0.45189506  0.37951194],[-1.1812108]
872957,[2256.9233],8948.287109375,-6791.3427734375,[ 0.31683399  0.2067613  -0.53299578  0.82418643],[-0.446702]
882957,[2613.936],11380.6826171875,-6841.35107421875,[ 1.24238703 -0.02981921 -1.23258702  1.22981979],[-0.08468242]
892957,[2956.904],18628.244140625,-6878.2880859375,[-1.50041942  0.47020251 -1.92632031  0.41229262],[2.1658847]
902957,[2910.7783],28707.0625,-6830.921875,[ 0.23252972  0.21055016  0.57950816 -0.48507268],[4.0596786]
912957,[2566.4214],8990.71484375,-6919.98046875,[-0.18546414 -0.12969703  1.2899194  -3.25407905],[4.334666]
922957,[2394.0437],14569.19140625,-6864.98681640625,[ 0.42434753  0.02798388  1.24192425 -1.77106726],[4.3781395]
932957,[3003.6118],9767.75390625,-6936.0849609375,[ 1.59903316  0.24101342  0.46242655 -0.43689858],[2.9921274]
942957,[2699.1978],17693.37890625,-6926.37353515625,[ 2.46718742  0.07548292  2.79664682 -3.81080324],[4.0551147]
952957,[2555.4065],9670.197265625,-6810.86376953125,[ 0.48593679  0.0046868   0.07931726 -1.8021108 ],[2.2726486]
962957,[2538.5627],9391.4794921875,-6871.9228515625,[1.04592578 0.10956255 0.79734028 0.72072644],[1.9613163]
972957,[2492.4507],14662.3486328125,-6863.01904296875,[0.2377251  0.22827875 0.63620222 0.29557325],[0.02046022]
982957,[2579.0066],6253.41357421875,-6838.3232421875,[ 1.7700674  -0.01417557  2.57895498 -2.5062742 ],[3.7442818]
992957,[2445.1077],8536.7802734375,-6880.728515625,[ 2.20962654 -0.18520804  2.89378119 -4.28124165],[1.4516972]
