step,cost,qf_loss,actor_loss,observations,action
25344,[5815.032],1164988.75,-114.26646423339844,[-11.28589068  -4.38561159 -23.58334752   4.92908376],[10.119316]
30560,[9951.503],692623.0,2239.82861328125,[ 0.86053117  2.54874628  0.16096693 -1.59933729],[1.3211343]
40560,[10041.194],308105.75,1747.2078857421875,[ 0.67741338  3.38133056 -0.24547492  0.90986636],[1.4664732]
50560,[9903.133],353838.0,1507.156005859375,[ 0.95013138  3.23735071  1.58293863 -0.43516437],[2.5665276]
60560,[9935.742],233555.78125,1241.10546875,[ 0.23773325  2.7562257  -0.92050164 -1.79288383],[-3.1763809]
70560,[9971.132],216516.640625,1125.2645263671875,[-0.4714976   3.51193229 -0.3795419  -1.65565543],[-1.6669637]
80560,[10076.156],159884.96875,782.8829345703125,[-0.33215132  3.09223443  0.38807693 -0.37130916],[2.307641]
90560,[10250.634],133410.1875,641.3448486328125,[-0.69086411  3.05009621 -1.44167246 -4.46223539],[-3.9817653]
100560,[9973.288],124115.703125,471.5235595703125,[-0.18312451  2.87800181 -0.66945604  3.87949425],[-0.12974161]
110560,[10528.986],98400.15625,73.17782592773438,[ 1.57148789  2.57322153 -1.16309233  0.13897181],[0.50810134]
120560,[10572.595],27666.19921875,-175.55450439453125,[ 1.96208477  3.50766042 -1.57518356 -2.28239932],[-3.796138]
130560,[10711.955],2282.644287109375,-570.5572509765625,[0.82107086 2.38838741 0.42061071 2.32239075],[1.4508691]
140372,[12191.775],3823.97705078125,-784.379150390625,[-0.41916454  2.39184308  0.00518925 -3.53447367],[-2.5958467]
150372,[11444.141],3518.787353515625,-945.329833984375,[-0.9360775   2.78252481  0.47618154 -0.85106537],[-0.8270594]
160372,[11424.44],3542.95458984375,-1034.257080078125,[ 0.05324679  1.94679551  0.99618816 -1.39763706],[1.9947162]
170372,[12379.331],2420.576171875,-1129.40576171875,[ 1.03341207  2.13052931 -1.4468457  -4.12200647],[-4.7448063]
180372,[10807.918],4694.60791015625,-1224.08544921875,[-0.01085184  2.61499475  1.20320644 -2.2335064 ],[-0.99715984]
190372,[14220.834],4283.76171875,-1386.6439208984375,[ 2.95545097  3.14887559 -2.20082116 -1.10590805],[-1.767859]
200372,[10853.259],4971.1298828125,-1442.65380859375,[-0.39072305  0.57453237 -3.14207299  2.05337259],[-0.5039884]
210322,[7753.2744],7023.92578125,-1621.013671875,[ 0.26407208  0.13292209  2.12881396 -2.13410955],[0.26590994]
220322,[8856.197],5020.8046875,-1891.335205078125,[-0.17162989 -3.85455835 -1.83998431 -2.64312462],[3.9550302]
230322,[4890.802],8124.1708984375,-2360.2353515625,[-3.00145667  0.11502701 -0.62594821  2.81160853],[-4.0509844]
240322,[3824.8606],11105.59375,-3229.120361328125,[-2.03369544 -0.1064467  -2.33973241  4.30813447],[-7.5194592]
250322,[3457.1128],29935.32421875,-4599.60546875,[-2.59242164e+00 -7.97367763e-04 -1.35583580e+00  1.35647308e+00],[-1.667335]
