step,cost,qf_loss,actor_loss,observations,action
26365,[7397.327],361959.0625,514.8195190429688,[-10.37959506   2.73283666  -6.77451573   3.22137382],[3.5838966]
35632,[9856.607],419568.0,1835.4024658203125,[ 0.58865605  3.07731933  0.22029386 -0.72721316],[0.2902288]
45632,[9928.163],309786.1875,1597.9554443359375,[1.10243617 3.2474759  0.22257839 2.96081117],[1.6024624]
55632,[10144.685],204711.0625,1312.021728515625,[-0.88312195  1.9466907  -0.14829289 -0.89843559],[-1.4656342]
65632,[10349.679],200423.328125,1257.096923828125,[-2.78121997  2.96356786  0.34818624  4.55534805],[0.434533]
75632,[10491.145],164577.65625,940.4970703125,[-3.28763749  3.27001754  0.06001231 -5.27394919],[-3.14879]
85632,[10527.135],130092.046875,832.315185546875,[-4.02207047  3.19703028 -1.84136165 -3.55056191],[-4.6861124]
95632,[10416.453],164586.453125,716.8546142578125,[-0.89688836  2.3779615  -2.31163377 -5.46946743],[-6.328731]
105632,[10457.173],83281.46875,539.4403686523438,[-0.33291443  2.35819513  0.92422031  3.63380529],[2.5319314]
115632,[10562.805],62727.109375,272.7390441894531,[ 1.04548818  3.1066744   0.03686267 -2.78899265],[-1.746422]
125632,[10870.685],49694.47265625,73.27875518798828,[ 0.66578856  1.98729373 -1.12161469 -3.28369662],[-1.7196413]
135632,[10816.877],78595.1875,65.65205383300781,[ 1.13134319  2.99318113  0.56188051 -0.26356039],[-1.0416962]
145632,[11015.5205],71898.4140625,-239.171142578125,[ 1.86747251  3.31998947 -0.4601475  -3.37561788],[-1.0563115]
155632,[10799.096],54421.703125,-417.9632873535156,[0.86604056 3.6159147  2.76423941 2.31852432],[1.8716176]
165632,[11483.838],54679.1640625,-589.38037109375,[ 1.40089693  1.88413159  0.2690752  -3.8151263 ],[-0.4407147]
175632,[11727.068],87601.390625,-757.8638305664062,[ 0.12446493  2.55301549 -1.2685888  -0.51408362],[-1.1887432]
185632,[11708.524],28808.6640625,-861.8992919921875,[ 0.23253608  2.66910367 -1.13899812 -2.5753848 ],[-0.1969867]
